date,federationId,match_link
2025-11-19,6,https://stats.innebandy.se/sasong/43/serie/40695/match/1571650/laguppstallning
2025-11-19,6,https://stats.innebandy.se/sasong/43/serie/41953/match/1627144/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/40695/match/1571645/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/40695/match/1571648/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41424/match/1609587/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608961/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41677/match/1612130/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41657/match/1609982/laguppstallning
2025-11-19,7,https://stats.innebandy.se/sasong/43/serie/41666/match/1611667/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40696/match/1572123/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/42361/match/1647462/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41362/match/1581090/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40759/match/1576239/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/40814/match/1655611/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093/laguppstallning
2025-11-19,8,https://stats.innebandy.se/sasong/43/serie/41542/match/1597536/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571644/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571645/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571648/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571649/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40695/match/1571650/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572121/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572122/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572123/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40696/match/1572119/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/40697/match/1570705/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41542/match/1597536/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734/laguppstallning
2025-11-19,1,https://stats.innebandy.se/sasong/43/serie/41546/match/1591896/laguppstallning
2025-11-19,9,https://stats.innebandy.se/sasong/43/serie/41531/match/1588723/laguppstallning
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/40695/match/1571646/laguppstallning
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/40696/match/1572122/laguppstallning
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/41180/match/1596109/laguppstallning
2025-11-19,10,https://stats.innebandy.se/sasong/43/serie/41180/match/1596111/laguppstallning
2025-11-19,11,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647/laguppstallning
2025-11-19,11,https://stats.innebandy.se/sasong/43/serie/42618/match/1662521/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/40695/match/1571644/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/40696/match/1572119/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/42632/match/1663386/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41429/match/1598628/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41808/match/1639867/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41794/match/1640079/laguppstallning
2025-11-19,12,https://stats.innebandy.se/sasong/43/serie/41832/match/1639392/laguppstallning
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41946/match/1602510/laguppstallning
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734/laguppstallning
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41569/match/1602981/laguppstallning
2025-11-19,14,https://stats.innebandy.se/sasong/43/serie/41616/match/1606788/laguppstallning
2025-11-19,17,https://stats.innebandy.se/sasong/43/serie/40696/match/1572121/laguppstallning
2025-11-19,17,https://stats.innebandy.se/sasong/43/serie/41155/match/1584982/laguppstallning
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/40695/match/1571647/laguppstallning
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/41551/match/1593092/laguppstallning
2025-11-19,15,https://stats.innebandy.se/sasong/43/serie/41551/match/1593093/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/40695/match/1571649/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/40697/match/1570705/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42616/match/1661931/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42616/match/1661932/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41175/match/1573116/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42080/match/1647658/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42082/match/1654533/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/42082/match/1654515/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41545/match/1591734/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41546/match/1591896/laguppstallning
2025-11-19,21,https://stats.innebandy.se/sasong/43/serie/41411/match/1664647/laguppstallning
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41943/match/1603328/laguppstallning
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41531/match/1588723/laguppstallning
2025-11-19,16,https://stats.innebandy.se/sasong/43/serie/41534/match/1588976/laguppstallning
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41461/match/1621454/laguppstallning
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41226/match/1631049/laguppstallning
2025-11-20,18,https://stats.innebandy.se/sasong/43/serie/41550/match/1591545/laguppstallning
2025-11-20,20,https://stats.innebandy.se/sasong/43/serie/41461/match/1621454/laguppstallning
