date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42046/match/1618529,2025/26,Pantamera Pojkar C (P11) Mellan,Killebäckshallen,131051027,IBK Lund P2011 Grön,Lönsboda IBK P11-12,Erik Åkesson,Hugo Andreasson
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42043/match/1618032,2025/26,Pantamera Pojkar D (P12) Norra,FORUM Örkelljunga,131062030,Örkelljunga IF P12/14,Åstorp/Kvidinge IBS P12/13,Wilma Jönsson,Tuva Joelsson
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42043/match/1618028,2025/26,Pantamera Pojkar D (P12) Norra,Höganäs Sportcenter B,131062026,Höganäs IBF P12/13,Gantofta IBK P12,Daniel Eldh,Hilma Nilsson Joneman
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42043/match/1618031,2025/26,Pantamera Pojkar D (P12) Norra,Mariahallen,131062029,FBC Helsingborg P14 Svart,Perstorp Bälinge IK P12/13,,
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42044/match/1618122,2025/26,Pantamera Pojkar D (P12) Södra,Kulladals Sporthall,131063030,Malmhaug IBF P12 Svart,Malmö FBC P11-12,Linus Johansson,Vincent Larsson
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/42044/match/1618118,2025/26,Pantamera Pojkar D (P12) Södra,Sallerupshallen,131063026,Eslövs IBF FP12/13,Västra Ingelstad IS P11-12,Fabian Löthberg,Kenan Masic
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41950/match/1604796,2025/26,Pantamera Pojkar E (P13) Norra Höst,Söndrebaljshallen,131075028,Hjärnarps IBK P13-14,Munka-Ljungby IBK P14-15,Patrik Knutsson,Andreas Ekstrand
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41950/match/1604797,2025/26,Pantamera Pojkar E (P13) Norra Höst,T4 Sporthall,131075029,Röke IBK P13/14,Vv84 SK Bjuv 12/14,Milo Josefsson,Abbe Lindahl
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41950/match/1604794,2025/26,Pantamera Pojkar E (P13) Norra Höst,Lönsboda Sporthall,131075026,Lönsboda IBK P13-14,Willands IBK PF12/13,Sakarias Persson,Alva Frostensson
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41951/match/1604841,2025/26,Pantamera Pojkar E (P13) Södra Höst,Herrestorpshallen,131076028,Gårdarike IBK P13-14,IK Stanstad P12/13,Tindra Ek,Linnea Granström Zaar
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41952/match/1604885,2025/26,Pantamera Pojkar E (P13) Västra Höst,Killebäckshallen,131077027,IBK Lund P2014-2015 Dalby,Hofterups IBF P12/13,Hugo Andreasson,Sebastian Skoglund
2025-11-22,6,https://stats.innebandy.se/sasong/43/serie/41952/match/1604887,2025/26,Pantamera Pojkar E (P13) Västra Höst,Slättängshallen,131077029,Lomma FBC P13/14,Bjärreds IBK P13,Hanna Thereström,Elvira Tufvesson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40693/match/1571830,2025/26,SSL - Svenska Superligan Herrar,Larslunda Arena A,580001068,Strängnäs IBK,Hovslätts IK,Frans Dahlstedt,Andreas Morelius
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40693/match/1571831,2025/26,SSL - Svenska Superligan Herrar,Furuborghallen,580001069,Nykvarns IBF,FBC Kalmarsund,Patric Terelius,Patrik Trofast
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40693/match/1571827,2025/26,SSL - Svenska Superligan Herrar,Fortnox Arena A-hall,580001065,Växjö IBK,Linköping IBK,Daniel Böcker,Rickard Wissman
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40695/match/1571652,2025/26,SSL - Svenska Superligan Damer,Fortnox Arena A-hall,580020072,Växjö IBK,Malmö FBC,Daniel Bäckner,Jonatan Svahn
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40697/match/1570704,2025/26,Allsvenskan Damer Södra,Forshaga Sporthall,580027051,GS 86 AIF,Jönköpings IK,Filip Eriksson,Fredrik Sjöberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40706/match/1573222,2025/26,Damer Division 1,Olofströms Sporthall,141205027,Olofströms IBK,Husqvarna IK,Melvin Harlin,Alex Holmberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40706/match/1573223,2025/26,Damer Division 1,Bökensved Sporthall,141205028,Westerviks IBK,FBC Karlskrona,Ulrika Harrysson,Alexia Rasmussen
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41420/match/1585464,2025/26,Damer Division 2 Västra,Malmbäcks Sporthall,141202070,Malmbäcks IF,IBF Tranås,Jonathan Jansson,Joakim Palmér
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41421/match/1585682,2025/26,Damer Division 2 Östra,Krungårdshallen,141203066,Sandbäckshults IBK,Hovshaga AIF,Philip Tigerstrand,Camilla Carlsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41424/match/1609592,2025/26,DamJunior 18 Norra,Värnamo Sporthall,141321013,Värnamo IK DJ18,IBF Tranås DJ18,Alva Perman,Tina Sandberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41425/match/1609491,2025/26,DamJunior 18 Södra,Vedeby Sporthall A,141322020,FBC Karlskrona DJ18,CL98IC DJ18,Dragan Zaharijev,Christian Adolfsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41426/match/1609408,2025/26,DamJunior 20,Ingelstads Sporthall,141320027,Ingelstad IBK/Rottne IF DJ20,Sävsjö IBK DJ20,Peter Rosholm,Viktor Qvist
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622679,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604013,Hovshaga AIF F19,Vetlanda IBF F18/2,Jack Hartman,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622680,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604014,Sävsjö IBK F19,Sävsjö IBK F18,Jonatan Svensson,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622681,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604015,Hovshaga AIF F19,Sävsjö IBK F18,Jack Hartman,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622682,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604016,Vetlanda IBF F18/2,Sävsjö IBK F19,Jonatan Svensson,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622683,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604017,Sävsjö IBK F18,Vetlanda IBF F18/2,Jack Hartman,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41935/match/1622684,2025/26,Flickor Grön Mellan -2018/19,Hagavikskolan 3-manna,141604018,Sävsjö IBK F19,Hovshaga AIF F19,Jonatan Svensson,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623759,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601031,Jönköpings IK F17/2,Forserums IF F17,Leon Kreutz,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623760,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601032,Husqvarna IK F17,Nässjö IBF F17,Oscar Ljung,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623761,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601033,Jönköpings IK F17/2,Nässjö IBF F17,Leon Kreutz,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623762,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601034,Forserums IF F17,Husqvarna IK F17,Oscar Ljung,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623763,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601035,Nässjö IBF F17,Forserums IF F17,Leon Kreutz,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41932/match/1623764,2025/26,Flickor Grön Norr -2017,Kålgårdsarenan sporthall 3-manna,141601036,Husqvarna IK F17,Jönköpings IK F17/2,Oscar Ljung,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/40692/match/1572975,2025/26,Herrar Division 2,Bökensved Sporthall,142200045,Westerviks IBK,Sävsjö IBK,Oscar Brynsäther,Johan Magnusson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41351/match/1608514,2025/26,Herrar Division 3 Norra,Jönköpings Idrottshus B-hall,142300033,Hovslätts IBK,Forserums IF,Albert Hjärtberg,Kim Wendt
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41412/match/1608424,2025/26,Herrar Division 3 Södra,SBB Arena,142301033,CL98IC B,FBC Kalmarsund Ungdom B,Jonas Hellberg,Anders Stenberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41414/match/1608777,2025/26,Herrar Division 4 NordÖstra,FB-hallen,142401026,Aneby SK,Craftstadens IBK Oskarshamn B,Nicklas Bard,Erik Sandell
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41414/match/1608781,2025/26,Herrar Division 4 NordÖstra,Malmbäcks Sporthall,142401030,Malmbäcks IF,IBK Husar,Jonathan Jansson,Joakim Palmér
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41415/match/1608691,2025/26,Herrar Division 4 SydÖstra,"Allhallen, Hovmantorp",142402030,Hovmantorps GOIF,Älmhults IBK,Michael Claesson,Therese Spjut
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41413/match/1608601,2025/26,Herrar Division 4 Västra,Ribbahallen A-hall,142400030,Gränna AIS B,Hestra Skid O SK,Anders A Nilsson,Emil Lindén
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608959,2025/26,Herrar Division 5 Norra,Olsbergs Arena,142410028,IBK Husar B,IBF Tranås,Johan Ferm,Magnus Widlund
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608958,2025/26,Herrar Division 5 Norra,Huskvarna Sportcenter Gymnastikhall,142410027,Husqvarna IK C,Bodafors IBS B,Anders Perman,Albin Ibishi
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608960,2025/26,Herrar Division 5 Norra,Tenhults Sporthall,142410029,IBK Panthern Tenhult B,Nässjö IBF C,Daniel Pettersson,Bujar Kuroshi
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41417/match/1608870,2025/26,Herrar Division 5 Östra,"Sparbankshallen, Virserum",142411029,Virserums SGF,Hjältevad Mariannelund IS B,Oscar Johansson,Oskar Kedmalm
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41417/match/1608869,2025/26,Herrar Division 5 Östra,Falkenbergshallen,142411028,CL98IC C,Westerviks IBK C,Christer Jonsson,Sune Broms
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41536/match/1609320,2025/26,Herrjunior 18 Södra,Falkenbergshallen,142612029,CL98IC HJ18,Växjö IBK Utveckling HJ18,Christer Jonsson,Sune Broms
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41536/match/1609317,2025/26,Herrjunior 18 Södra,Hovshaga Sporthall,142612026,Hovshaga AIF HJ18,Vetlanda IBF HJ18,Stefan Holmgren,Filip Karlsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41689/match/1612875,2025/26,Pantamer F Blå MellanSyd -14,Hovshaga Sporthall,141506029,Hovshaga AIF F14,Älmhults IBK F14-15/1,Albin Sundblad,Isak Armanius
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41687/match/1612694,2025/26,Pantamer F Blå Norra -14 A,"Fagerhus, Fagerhult",141504028,Fagerhult Habo IBK Ungdom F14-15/1,Barnarps IF F14,Stella Westmar,Ingrid Westmar
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41687/match/1612692,2025/26,Pantamer F Blå Norra -14 A,Jönköpings Idrottshus A-hall,141504026,Jönköpings IK F14,Ölmstads IS F14,Axel Karlsson,Linus Engdahl
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41687/match/1612693,2025/26,Pantamer F Blå Norra -14 A,Fagerslätt Idrottshall,141504027,Husqvarna IK F14-15,Hovslätts IK F14/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41688/match/1612783,2025/26,Pantamer F Blå Norra -14 B,FB-hallen,141505027,Aneby SK F14-15,Nässjö IBF F14-15,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41688/match/1612784,2025/26,Pantamer F Blå Norra -14 B,Hisingstorpshallen,141505028,Hovslätts IK F14/2,Sävsjö IBK F14,Albin Sjöberg,Elina Kylberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617019,2025/26,Pantamera F Blå Norra -15,Huskvarna Sportcenter Sporthall,141503040,Husqvarna IK F15/2,Månsarps IBK F14-15,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617020,2025/26,Pantamera F Blå Norra -15,Huskvarna Sportcenter Sporthall,141503041,Månsarps IBK F14-15,Värnamo IK F15-16/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617013,2025/26,Pantamera F Blå Norra -15,Barnarps Sporthall,141503034,Barnarps IF F16,Hestra Skid O SK F16-17,Moa Karlsson,Betty Hallenborg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617021,2025/26,Pantamera F Blå Norra -15,Huskvarna Sportcenter Sporthall,141503042,Värnamo IK F15-16/1,Husqvarna IK F15/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617014,2025/26,Pantamera F Blå Norra -15,Barnarps Sporthall,141503035,Hestra Skid O SK F16-17,Ölmstads IS F15,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41686/match/1617015,2025/26,Pantamera F Blå Norra -15,Barnarps Sporthall,141503036,Ölmstads IS F15,Barnarps IF F16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41685/match/1616905,2025/26,Pantamera F Blå Norra -16,Tenhults Sporthall,141502034,Tenhults IF F16/1,IBF Tranås F15-16/2,Viktor Johansson,Alva Johansson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41685/match/1616906,2025/26,Pantamera F Blå Norra -16,Tenhults Sporthall,141502035,IBF Tranås F15-16/2,Husqvarna IK F16/1,Viktor Johansson,Alva Johansson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41685/match/1616907,2025/26,Pantamera F Blå Norra -16,Tenhults Sporthall,141502036,Husqvarna IK F16/1,Tenhults IF F16/1,Viktor Johansson,Alva Johansson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/42466/match/1654767,2025/26,Pantamera F Blå Östra -14,Vedeby Sporthall B,141508019,FBC Karlskrona F14-15,Nybro IBK F13-14/2,Sara Blomberg,Smilla Jonsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/42466/match/1654768,2025/26,Pantamera F Blå Östra -14,Vedeby Sporthall B,141508020,Nybro IBK F13-14/2,Böda IK Böda/Högby F13-14,Sara Blomberg,Smilla Jonsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/42466/match/1654769,2025/26,Pantamera F Blå Östra -14,Vedeby Sporthall B,141508021,Böda IK Böda/Högby F13-14,FBC Karlskrona F14-15,Smilla Jonsson,Sara Blomberg
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41684/match/1617544,2025/26,Pantamera F Blå Östra -15,Fortnox Arena B-hall,141501040,Växjö IBK Utveckling F15/1,Hovshaga AIF F15/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41684/match/1617545,2025/26,Pantamera F Blå Östra -15,Fortnox Arena B-hall,141501041,Hovshaga AIF F15/2,CL98IC F15/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41684/match/1617546,2025/26,Pantamera F Blå Östra -15,Fortnox Arena B-hall,141501042,CL98IC F15/2,Växjö IBK Utveckling F15/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41683/match/1617127,2025/26,Pantamera F Blå Östra -16,Gemla Sporthall,141500028,Gransholms IF F16,Väckelsångs IK F16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41683/match/1617128,2025/26,Pantamera F Blå Östra -16,Gemla Sporthall,141500029,Väckelsångs IK F16,FBC Ljungby F15-16**,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41683/match/1617129,2025/26,Pantamera F Blå Östra -16,Gemla Sporthall,141500030,FBC Ljungby F15-16**,Gransholms IF F16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41678/match/1611958,2025/26,Pantamera F Röd MellanSyd -10,Hovshaga Sporthall,141405030,Hovshaga AIF F10,Carlshamns IBK F10,Stefan Holmgren,Filip Karlsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41676/match/1612044,2025/26,Pantamera F Röd MellanSyd -11,Sparbanken Arena,141403026,Carlshamns IBK F11-12,FBC Kalmarsund Ungdom F12,Viktor De Gregori Johnson,Mikael Björkman
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41679/match/1612423,2025/26,Pantamera F Röd MellanSyd -12,Olofströms Sporthall,141406027,Olofströms IBK F12-13,Hovshaga AIF F13/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41679/match/1612426,2025/26,Pantamera F Röd MellanSyd -12,Ingelstads Sporthall,141406030,Ingelstad IBK F12-13,Ryds SK F10-14,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41673/match/1611768,2025/26,Pantamera F Röd Norra -09,Vimmerby Idrottshall,141400020,Vimmerby IBK F10,Husqvarna IK F10-11,Dawan Mofak,Mikael Fransson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41674/match/1611868,2025/26,Pantamera F Röd Norra -10,Jönköpings Idrottshus A-hall,141401030,Hovslätts IK F11,Bankeryds Skid o MK F11,Johnny Edh,Peter Nykvist
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41674/match/1611864,2025/26,Pantamera F Röd Norra -10,Töllstorpshallen,141401026,Gnosjö IBK F10-11,Månsarps IBK F10-11,Kim Westlund,Pontus Hildinge Mickelsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41680/match/1612332,2025/26,Pantamera F Röd Norra -12,"Alléhallen, Habo",141407026,Fagerhult Habo IBK Ungdom F12-13,Värnamo IK F12-13,Emelie Emilsson,Izabella Johansson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41680/match/1612334,2025/26,Pantamera F Röd Norra -12,Hasses Sportcenter LF-planen,141407028,Vetlanda IBF F13/2,Östra SK Jönköping F12,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41681/match/1612515,2025/26,Pantamera F Röd Norra -13,Malmbäcks Sporthall,141408029,Malmbäcks IF F13,Husqvarna IK F13 Vit,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41681/match/1612512,2025/26,Pantamera F Röd Norra -13,Töllstorpshallen,141408026,Gnosjö IBK F12-13,Hovslätts IK F13,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41681/match/1612513,2025/26,Pantamera F Röd Norra -13,Jönköpings Idrottshus B-hall,141408027,Jönköpings IK F13,Nässjö IBF F12-13,Erik Krantz,Elias Wallmyr
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41681/match/1612514,2025/26,Pantamera F Röd Norra -13,Barnarps Sporthall,141408028,Barnarps IF F12,Hestra Skid O SK F13,Betty Hallenborg,Moa Karlsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41677/match/1612134,2025/26,Pantamera F Röd Östra -11,Ölands Bank Center B,141404026,FBC Kalmarsund Ungdom F11,Sandbäckshults IBK F12,Malte Blomqvist,Rolf Vatvedt
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41682/match/1612606,2025/26,Pantamera F Röd Östra -13,Kallinge Sporthall,141409030,KaRo IBF F13,Väckelsångs IK F13,Jacob Andersson,Abbe Johansson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41682/match/1612605,2025/26,Pantamera F Röd Östra -13,Ölands Bank Center B,141409029,FBC Kalmarsund Ungdom F13-14,Gantesbo IBK F13,Anton Ek,Hugo Engdahl
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41694/match/1613199,2025/26,Pantamera P Blå MellanSyd -14 A,Vedeby Sporthall A,142804027,FBC Karlskrona P14,Öjaby Sport IBK P14/1,Filip Ljungholm,Adam Georgsson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41695/match/1613691,2025/26,Pantamera P Blå MellanSyd -14 B,Vislanda Sporthall,142805029,Vislanda IF P14-15,Rottne IF P14,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41697/match/1616614,2025/26,Pantamera P Blå MellanSyd -15 A,Gemla Sporthall,142807031,Gransholms IF P15-16/1,Hovmantorps GOIF P15,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41697/match/1616615,2025/26,Pantamera P Blå MellanSyd -15 A,Gemla Sporthall,142807032,Hovmantorps GOIF P15,Olofströms IBK P14-16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41697/match/1616616,2025/26,Pantamera P Blå MellanSyd -15 A,Gemla Sporthall,142807033,Olofströms IBK P14-16,Gransholms IF P15-16/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41698/match/1617445,2025/26,Pantamera P Blå MellanSyd -15 B,Rottne Sporthall 3-manna,142808022,Rottne IF P15-16,Växjö IBK Utveckling P16/1 Blå,Line Christensen,Lukas Andersson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41698/match/1617446,2025/26,Pantamera P Blå MellanSyd -15 B,Rottne Sporthall 3-manna,142808023,Växjö IBK Utveckling P16/1 Blå,Alvesta IBK P16,Line Christensen,Lukas Andersson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41698/match/1617447,2025/26,Pantamera P Blå MellanSyd -15 B,Rottne Sporthall 3-manna,142808024,Alvesta IBK P16,Rottne IF P15-16,Line Christensen,Lukas Andersson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41691/match/1613019,2025/26,Pantamera P Blå Norra -14 A,"KFUM Sporthall, Jönköping",142801027,KFUM Jönköping P14-15/1,Jönköpings IK P14 Röd,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41691/match/1613018,2025/26,Pantamera P Blå Norra -14 A,Hestra Sporthall,142801026,Hestra Skid O SK P13-14,Hovslätts IK P14/1,Gideon Ambjörnsson,Noel Enander
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41691/match/1613021,2025/26,Pantamera P Blå Norra -14 A,Forserums Sporthall,142801029,Forserums IF P14,Fagerhult Habo IBK Ungdom P14,Hugo Kåberg,Leonel Tönnersen
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41691/match/1613022,2025/26,Pantamera P Blå Norra -14 A,Handskerydshallen,142801030,Nässjö IBF P14,Bankeryds Skid o MK P14,William Idh,Stina Rehn
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41692/match/1613110,2025/26,Pantamera P Blå Norra -14 B,Olsbergs Arena,142802028,IBK Husar P14,Månsarps IBK P14/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41692/match/1613108,2025/26,Pantamera P Blå Norra -14 B,Töllstorpshallen,142802026,Gnosjö IBK P14,Jönköpings IK P14 Vit,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41693/match/1613780,2025/26,Pantamera P Blå Norra -14 C,Ribbahallen A-hall,142803028,Ölmstads IS P14,KFUM Jönköping P14-15/2,Tage Conradsson,Felix Blom
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41693/match/1613778,2025/26,Pantamera P Blå Norra -14 C,Hasses Sportcenter OBOS-planen,142803026,Vetlanda IBF P14/2,Vetlanda IBF P14/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41701/match/1616139,2025/26,Pantamera P Blå Norra -15 A,Forserums Sporthall,142811037,Forserums IF P15,Bankeryds Skid o MK P15,Noah Kinnander,Olle Persson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41701/match/1616140,2025/26,Pantamera P Blå Norra -15 A,Forserums Sporthall,142811038,Bankeryds Skid o MK P15,Aneby SK P14-15,Noah Kinnander,Olle Persson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41701/match/1616141,2025/26,Pantamera P Blå Norra -15 A,Forserums Sporthall,142811039,Aneby SK P14-15,Forserums IF P15,Noah Kinnander,Olle Persson
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41703/match/1617235,2025/26,Pantamera P Blå Norra -16 A,Malmbäcks Sporthall,142813028,Malmbäcks IF P16,Ölmstads IS P16/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41703/match/1617236,2025/26,Pantamera P Blå Norra -16 A,Malmbäcks Sporthall,142813029,Ölmstads IS P16/2,Skillingaryds IK P16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41703/match/1617237,2025/26,Pantamera P Blå Norra -16 A,Malmbäcks Sporthall,142813030,Skillingaryds IK P16,Malmbäcks IF P16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41704/match/1616713,2025/26,Pantamera P Blå Norra -16 B,Hasses Sportcenter OBOS-planen,142814034,Vetlanda IBF P16/1,Nässjö IBF P16,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41704/match/1616714,2025/26,Pantamera P Blå Norra -16 B,Hasses Sportcenter OBOS-planen,142814035,Nässjö IBF P16,Jönköpings IK P16 Vit,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41704/match/1616715,2025/26,Pantamera P Blå Norra -16 B,Hasses Sportcenter OBOS-planen,142814036,Jönköpings IK P16 Vit,Vetlanda IBF P16/1,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41705/match/1616809,2025/26,Pantamera P Blå Norra -16 C,Hasses Sportcenter OBOS-planen,142815034,Vetlanda IBF P16/2,Bankeryds Skid o MK P16/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41705/match/1616810,2025/26,Pantamera P Blå Norra -16 C,Hasses Sportcenter OBOS-planen,142815035,Bankeryds Skid o MK P16/2,Husqvarna IK P16/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41705/match/1616811,2025/26,Pantamera P Blå Norra -16 C,Hasses Sportcenter OBOS-planen,142815036,Husqvarna IK P16/2,Vetlanda IBF P16/2,,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41696/match/1613490,2025/26,Pantamera P Blå Östra -14,Ölands Bank Center B,142806028,FBC Kalmarsund Ungdom P14,Stenåsa-Sandby-Gårdby IF P14-15,Isac Strandh,
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41696/match/1613489,2025/26,Pantamera P Blå Östra -14,OG-Hallen,142806027,Nybro IBK P13-14/2,CL98IC P14/2,Linnèa Martinsson,Ella Dackebrand
2025-11-22,7,https://stats.innebandy.se/sasong/43/serie/41699/match/1616377,2025/26,Pantamera P Blå Östra -15 A,Mörlunda Sporthall,142809034,IBK Svala P15,FBC Kalmarsund Ungdom P15/1,,
