date,federationId,match_link,season,serie,arena,home_team,away_team,domare1,domare2
2025-11-18,4,https://stats.innebandy.se/sasong/43/serie/41718/match/1646915,2025/26,Pantamera Pojkar Röd 5,Norrmalmia Sph,110301029,Öjebyns IBF 5,IBK Luleå 5/6/8,Jan-Erik Karlsson,Elen Aino Labba
2025-11-18,6,https://stats.innebandy.se/sasong/43/serie/41954/match/1627247,2025/26,Herrar Div 3 Skåne,Lönsboda Sporthall,131002021,Lönsboda IBK,FBC Engelholm B,Senad Hamula,Albin Sadiku
2025-11-18,6,https://stats.innebandy.se/sasong/43/serie/42063/match/1625468,2025/26,Pantamera Pojkar B (P10) Svår,Skurups Sparbank Arena,131039027,Skurups IBK P10/11,IBK Genarp P10/11,Truls Andersson,Pontus Pramhed
2025-11-18,6,https://stats.innebandy.se/sasong/43/serie/41601/match/1581250,2025/26,Skånemästerskapen Damer Slutspel,Ängelholms Idrottshall,135006009,FBC Engelholm A,Åstorp/Kvidinge IBS A,Andreas Thorsell,Claus Pettersson
2025-11-18,7,https://stats.innebandy.se/sasong/43/serie/41416/match/1608952,2025/26,Herrar Division 5 Norra,Granelundshallen,142410021,IBF Tranås,Bodafors IBS B,Nicklas Bard,Joakim Palmér
2025-11-18,7,https://stats.innebandy.se/sasong/43/serie/41547/match/1593993,2025/26,Juniorallsvenskan I HJ18,SBB Arena,580708039,CL98IC,FBC Kalmarsund,Jonas Hellberg,Anders Stenberg
2025-11-18,7,https://stats.innebandy.se/sasong/43/serie/42617/match/1662248,2025/26,SmCupen Slutspel H,Hasses Sportcenter OBOS-planen,145016009,Vetlanda IBF,Ingelstad IBK,Filip Karlsson,Johan Oxenmyr
2025-11-18,7,https://stats.innebandy.se/sasong/43/serie/42617/match/1662250,2025/26,SmCupen Slutspel H,Sävsjö Sporthall,145016011,Sävsjö IBK,Jönköpings IK Utveckling,Viktor Bringstam,Fredrik Billemark
2025-11-18,8,https://stats.innebandy.se/sasong/43/serie/40696/match/1572124,2025/26,Allsvenskan Damer Norra,Rotebrohallen,580026048,FBC Sollentuna,Nacka IBK,Stefano Bianque,Johan Larsson
2025-11-18,8,https://stats.innebandy.se/sasong/43/serie/42362/match/1648319,2025/26,Bäst i Stan Damjunior – Slutspel,Värmdö sporthall,150166007,Värmdö IF,Nynäshamns IBK,Anders Peterson,Bjarne Hekkelstrand
2025-11-18,8,https://stats.innebandy.se/sasong/43/serie/40760/match/1641380,2025/26,Herrar Division 5 Östra,Rödabergshallen,150009044,Karlbergs BK (A),Djurö-Vindö IF,Fredrik Hallenberg,Imtiaz Karim
