Domare,Date,Matcher
Hajrudin Begic,2023-09-15,1
Måns Eliason,2023-09-15,1
Marcus Larsson,2023-09-15,1
Martin Matti,2023-09-15,1
Oscar Skogsberg,2023-09-15,1
Pierre Eberhard Berg,2023-09-15,1
Roger Zahnér,2023-09-15,1
Semir Aganspahic,2023-09-15,1
Simon Broman,2023-09-15,1
Tommy Runhammar,2023-09-15,1
Alma Eriksson,2023-09-16,1
Carl Larsson,2023-09-16,1
Daniel Larm,2023-09-16,1
David Karlsson,2023-09-16,1
Elvira Flöjner,2023-09-16,1
Esther Schill,2023-09-16,1
Gustav Persson,2023-09-16,1
Henrik Sjöberg,2023-09-16,1
Jörgen Andersson,2023-09-16,1
Kevin Cardell,2023-09-16,1
Linn Söderblom,2023-09-16,1
Måns Eliason,2023-09-16,1
Moa Wallén,2023-09-16,1
Oliver Pettersson,2023-09-16,1
Pontus Ekengränd,2023-09-16,1
Sandra Lindskog,2023-09-16,1
Adnan Tongur,2023-09-17,5
Hajrudin Begic,2023-09-17,5
Adam Jällfält,2023-09-17,2
Alexander Forsberg,2023-09-17,2
Felix Bark Peterson,2023-09-17,2
Oscar Skogsberg,2023-09-17,2
René Schweikart,2023-09-17,2
Tommy Runhammar,2023-09-17,2
Adam Rydholm,2023-09-17,1
Alexander Rydqvist,2023-09-17,1
Arwid Hedlund,2023-09-17,1
Bailasan Mohammed,2023-09-17,1
Christer Carlberg,2023-09-17,1
Christian Jensen,2023-09-17,1
Dennis Jelse,2023-09-17,1
Emil Lindén,2023-09-17,1
Felix Broström,2023-09-17,1
Gabriel Adolfsson,2023-09-17,1
Håkan Krafft,2023-09-17,1
Helin Beyza Altuntas,2023-09-17,1
Henric Ebbmark,2023-09-17,1
Jacob Johansson,2023-09-17,1
Jonas Olsson,2023-09-17,1
Måns Bartilson,2023-09-17,1
Mats Sällberg,2023-09-17,1
Peter Novakovic,2023-09-17,1
Peter Nykvist,2023-09-17,1
Senad Olevic,2023-09-17,1
Suvad Kaltak,2023-09-17,1
Thomas Roos,2023-09-17,1
Tobias Anderberg,2023-09-17,1
Isac Söderlind Löfdahl,2023-09-18,1
Malte Rydin,2023-09-18,1
Thomas Johansson,2023-09-18,1
Tommy Runhammar,2023-09-18,1
Adam Jällfält,2023-09-19,1
Adam Kruse,2023-09-19,1
Alexander Rydqvist,2023-09-19,1
Axel Szerszenski,2023-09-19,1
Gabriel Adolfsson,2023-09-19,1
Joel Rudanko,2023-09-19,1
Måns Bartilson,2023-09-19,1
Mathias Johansson,2023-09-19,1
Oscar Skogsberg,2023-09-19,1
Pierre Eberhard Berg,2023-09-19,1
Pontus Ekengränd,2023-09-19,1
Robin Boqvist,2023-09-19,1
Roger Zahnér,2023-09-19,1
Susanne Andersson,2023-09-19,1
Axel Szerszenski,2023-09-20,1
Elsa Berg,2023-09-20,1
Joel Rudanko,2023-09-20,1
Lisa Borefur,2023-09-20,1
Semir Aganspahic,2023-09-20,1
Tommy Runhammar,2023-09-20,1
Daniel Hultberg,2023-09-21,1
Felix Broström,2023-09-21,1
Måns Bartilson,2023-09-21,1
Marcus Larsson,2023-09-21,1
Oscar Skogsberg,2023-09-21,1
Stefan Olsson,2023-09-21,1
Thomas Johansson,2023-09-21,1
Tommy Runhammar,2023-09-21,1
Adam Jällfält,2023-09-22,1
Alexander Rydqvist,2023-09-22,1
Christoffer Danielsson,2023-09-22,1
Felix Broström,2023-09-22,1
Henry Tames,2023-09-22,1
Marcus Larsson,2023-09-22,1
Martin Johansson,2023-09-22,1
Tommy Runhammar,2023-09-22,1
Alexander Rydqvist,2023-09-23,3
Amir Huseinovic,2023-09-23,2
Lasse Englund,2023-09-23,2
Linn Söderblom,2023-09-23,2
Tommy Runhammar,2023-09-23,2
Adam Kruse,2023-09-23,1
Adnan Tongur,2023-09-23,1
Daniel Hultberg,2023-09-23,1
Dante Lindskog,2023-09-23,1
Edo Sabanovic,2023-09-23,1
Erik Hindemith,2023-09-23,1
Felix Bark Peterson,2023-09-23,1
Felix Broström,2023-09-23,1
Fredrik Lundborg,2023-09-23,1
Jacob Johansson,2023-09-23,1
Joakim Mattsson,2023-09-23,1
Kim Westlund,2023-09-23,1
Marcus Larsson,2023-09-23,1
Martin Jonsson,2023-09-23,1
Mustafa Er,2023-09-23,1
Oscar Skogsberg,2023-09-23,1
Petter Enlund,2023-09-23,1
Rickard Wissman,2023-09-23,1
Roger Zahnér,2023-09-23,1
Thomas Andersson,2023-09-23,1
Thomas Johansson,2023-09-23,1
Tobias Anderberg,2023-09-23,1
Martin Andersson,2023-09-24,5
Zara Carlsson,2023-09-24,5
Tommy Runhammar,2023-09-24,2
Adam Kruse,2023-09-24,1
Albert Enlund,2023-09-24,1
Albin Rosberg,2023-09-24,1
Felix Broström,2023-09-24,1
Henrik Carlsson,2023-09-24,1
Måns Eliason,2023-09-24,1
Mathias Damgaard,2023-09-24,1
Petter Enlund,2023-09-24,1
Pierre Eberhard Berg,2023-09-24,1
Richard Claesson,2023-09-24,1
Roger Zahnér,2023-09-24,1
Thomas Johansson,2023-09-24,1
Alexander Rydqvist,2023-09-25,1
Felix Bark Peterson,2023-09-25,1
Felix Broström,2023-09-25,1
Semir Aganspahic,2023-09-25,1
Adam Kruse,2023-09-26,1
Jesper Wångblad,2023-09-26,1
Mustafa Kalajdzisalihovic,2023-09-26,1
Pontus Ekengränd,2023-09-26,1
Tomas Levin,2023-09-26,1
Christian Jensen,2023-09-27,1
Gabriel Adolfsson,2023-09-27,1
Måns Bartilson,2023-09-27,1
Tommy Runhammar,2023-09-27,1
Frans Dahlstedt,2023-09-28,1
Josefine Hedelind,2023-09-28,1
Senad Olevic,2023-09-28,1
Susanne Andersson,2023-09-28,1
Adam Jällfält,2023-09-29,1
Adnan Tongur,2023-09-29,1
Albin Rosberg,2023-09-29,1
Amir Huseinovic,2023-09-29,1
Christian Svärdström,2023-09-29,1
David Dornlöv,2023-09-29,1
Felix Bark Peterson,2023-09-29,1
Hajrudin Begic,2023-09-29,1
Hussein Ibrahim,2023-09-29,1
Jaana Gander,2023-09-29,1
Jesper Björklund Greter,2023-09-29,1
Måns Eliason,2023-09-29,1
Måns Löfgren,2023-09-29,1
Marcus Larsson,2023-09-29,1
Marcus Orrhult,2023-09-29,1
Oscar Skogsberg,2023-09-29,1
Per Sundvall,2023-09-29,1
Stefan Olsson,2023-09-29,1
Susanne Andersson,2023-09-29,1
Thomas Johansson,2023-09-29,1
Torbjörn Zahner,2023-09-29,1
Wessam Abdellrazek,2023-09-29,1
Adam Jällfält,2023-09-30,3
Adnan Tongur,2023-09-30,3
Felix Bark Peterson,2023-09-30,3
Jesper Björklund Greter,2023-09-30,3
Alexander Pavlovic,2023-09-30,2
Christian Svärdström,2023-09-30,2
Claes Knutsson,2023-09-30,2
Fredrik Landin,2023-09-30,2
Jimmy Rittervall,2023-09-30,2
Johan Ronge,2023-09-30,2
Lazo Cesto,2023-09-30,2
Magnus Fredriksson,2023-09-30,2
Per Sundvall,2023-09-30,2
Philip Aronsson-Elffors,2023-09-30,2
Sebastian Kiejs Huhmarniemi,2023-09-30,2
Adam Kruse,2023-09-30,1
Andreas Karlsson,2023-09-30,1
Andreas Lybacken,2023-09-30,1
Christian Jensen,2023-09-30,1
Daniel Hultberg,2023-09-30,1
Edo Sabanovic,2023-09-30,1
Gabriel Adolfsson,2023-09-30,1
Goran Kuduzovic,2023-09-30,1
Hajrudin Begic,2023-09-30,1
Jan Blohm,2023-09-30,1
John Awabdeh,2023-09-30,1
Jonathan Varli,2023-09-30,1
Måns Löfgren,2023-09-30,1
Senad Olevic,2023-09-30,1
Stefan Olsson,2023-09-30,1
Thomas Johansson,2023-09-30,1
Torbjörn Zahner,2023-09-30,1
Wessam Abdellrazek,2023-09-30,1
Jim Nilsson,2023-10-01,3
Leutrim Krasniqi,2023-10-01,3
Magnus Jansson,2023-10-01,3
Pedram Koublani,2023-10-01,3
Adam Jällfält,2023-10-01,2
Aldin Hadziselmovic,2023-10-01,2
Alexander Pavlovic,2023-10-01,2
Christian Jensen,2023-10-01,2
Gabriel Adolfsson,2023-10-01,2
Senad Olevic,2023-10-01,2
Thomas Johansson,2023-10-01,2
Adnan Tongur,2023-10-01,1
Alexander Lagerström,2023-10-01,1
Christer Carlberg,2023-10-01,1
Christoffer Frykestam,2023-10-01,1
David Björketun,2023-10-01,1
Erik Bergström,2023-10-01,1
Goran Kuduzovic,2023-10-01,1
Hajrudin Begic,2023-10-01,1
Jörgen Andersson,2023-10-01,1
Jesper Björklund Greter,2023-10-01,1
Kevin Cardell,2023-10-01,1
Lazo Cesto,2023-10-01,1
Linus Svensson,2023-10-01,1
Måns Löfgren,2023-10-01,1
Martin Matti,2023-10-01,1
Mats Sällberg,2023-10-01,1
Mustafa Kalajdzisalihovic,2023-10-01,1
Per Sundvall,2023-10-01,1
Robin Cederdahl,2023-10-01,1
Sebastian Kiejs Huhmarniemi,2023-10-01,1
Simon Broman,2023-10-01,1
Stefan Olsson,2023-10-01,1
Tim Green,2023-10-01,1
Tommy Runhammar,2023-10-01,1
Torbjörn Zahner,2023-10-01,1
Viktor Snöborgs,2023-10-01,1
Wessam Abdellrazek,2023-10-01,1
Zara Carlsson,2023-10-01,1
Charles Martinsson,2023-10-02,1
Hampus Räffling,2023-10-02,1
Marcus Larsson,2023-10-02,1
Oscar Skogsberg,2023-10-02,1
Alexander Rydqvist,2023-10-03,1
Ali Alizada,2023-10-03,1
Karl Dahlsjö,2023-10-03,1
Lasse Englund,2023-10-03,1
Mohsen Gholami,2023-10-03,1
Sebastian Ågren,2023-10-03,1
Adnan Tongur,2023-10-04,1
Hajrudin Begic,2023-10-04,1
Sandra Lindskog,2023-10-04,1
Tommy Runhammar,2023-10-04,1
Adam Jällfält,2023-10-06,1
Adam Kruse,2023-10-06,1
Adnan Tongur,2023-10-06,1
Aldin Hadziselmovic,2023-10-06,1
Alexander Pavlovic,2023-10-06,1
Alexander Rydqvist,2023-10-06,1
Amir Huseinovic,2023-10-06,1
Christian Svärdström,2023-10-06,1
Dennis Jelse,2023-10-06,1
Emma Ekdahl,2023-10-06,1
Felix Bark Peterson,2023-10-06,1
Gabriel Adolfsson,2023-10-06,1
Håkan Krafft,2023-10-06,1
Hajrudin Begic,2023-10-06,1
Henry Tames,2023-10-06,1
Isak Skarrie,2023-10-06,1
Jasmin Dzanic,2023-10-06,1
Jesper Björklund Greter,2023-10-06,1
Jonas Olsson,2023-10-06,1
Josefine Hedelind,2023-10-06,1
Lazo Cesto,2023-10-06,1
Måns Löfgren,2023-10-06,1
Marcus Larsson,2023-10-06,1
Marcus Orrhult,2023-10-06,1
Martin Jonsson,2023-10-06,1
Mathias Hannu,2023-10-06,1
Mats Sällberg,2023-10-06,1
Mustafa Er,2023-10-06,1
Oscar Skogsberg,2023-10-06,1
Pierre Eberhard Berg,2023-10-06,1
Roger Zahnér,2023-10-06,1
Siri Licht,2023-10-06,1
Thomas Johansson,2023-10-06,1
Torbjörn Zahner,2023-10-06,1
Ali Alizada,2023-10-07,4
Mohsen Gholami,2023-10-07,4
Adnan Tongur,2023-10-07,3
Christian Svärdström,2023-10-07,3
Gabriel Adolfsson,2023-10-07,3
Gustav Garplid,2023-10-07,3
Isak Skarrie,2023-10-07,3
Måns Bartilson,2023-10-07,3
Marcus Orrhult,2023-10-07,3
Adam Jällfält,2023-10-07,2
Adem Can,2023-10-07,2
Alexander Pavlovic,2023-10-07,2
Alexander Rydqvist,2023-10-07,2
Annie Sigvardson,2023-10-07,2
Felix Bark Peterson,2023-10-07,2
Håkan Krafft,2023-10-07,2
Henry Tames,2023-10-07,2
Jakob Bengtsson,2023-10-07,2
Johan Ronge,2023-10-07,2
Lazo Cesto,2023-10-07,2
Linus Svensson,2023-10-07,2
Lucas Dahlin,2023-10-07,2
Mathias Johansson,2023-10-07,2
Mustafa Kalajdzisalihovic,2023-10-07,2
Per Sundvall,2023-10-07,2
Pierre Eberhard Berg,2023-10-07,2
Rasmus Lindmark,2023-10-07,2
Roger Zahnér,2023-10-07,2
Sebastian Kiejs Huhmarniemi,2023-10-07,2
Selma Hadziselimovic,2023-10-07,2
Thomas Johansson,2023-10-07,2
Tindra Bäckvall,2023-10-07,2
Tommy Runhammar,2023-10-07,2
Torbjörn Zahner,2023-10-07,2
Yao-Zu Galby,2023-10-07,2
Zara Carlsson,2023-10-07,2
Adam Kruse,2023-10-07,1
Alejandra Feng,2023-10-07,1
Andreas Lybacken,2023-10-07,1
Anton Sköld,2023-10-07,1
Claes Knutsson,2023-10-07,1
Daniel Böcker,2023-10-07,1
Dante Lindskog,2023-10-07,1
Ebba Ahlberg,2023-10-07,1
Emil Häggsten,2023-10-07,1
Emil Lejon,2023-10-07,1
Emmy Birgersson,2023-10-07,1
Felix Broström,2023-10-07,1
Fredrik Lundborg,2023-10-07,1
Hajrudin Begic,2023-10-07,1
Hampus Räffling,2023-10-07,1
Hussein Ibrahim,2023-10-07,1
Ian Blomqvist,2023-10-07,1
Isa Rosén,2023-10-07,1
Jesper Björklund Greter,2023-10-07,1
Joakim Mattsson,2023-10-07,1
Linda Lindskog,2023-10-07,1
Marcus Larsson,2023-10-07,1
Martin Jonsson,2023-10-07,1
Oscar Skogsberg,2023-10-07,1
Peter Novakovic,2023-10-07,1
Philip Aronsson-Elffors,2023-10-07,1
Rasmus Jarnestål,2023-10-07,1
Siri Licht,2023-10-07,1
Alexander Rydqvist,2023-10-08,4
Felix Bark Peterson,2023-10-08,4
Mohsen Gholami,2023-10-08,4
Adam Jällfält,2023-10-08,3
Goran Kuduzovic,2023-10-08,3
Gustav Garplid,2023-10-08,3
Isak Skarrie,2023-10-08,3
Jakob Lundberg,2023-10-08,3
Johan Ronge,2023-10-08,3
Magnus Fredriksson,2023-10-08,3
Mathias Hannu,2023-10-08,3
Mats Sällberg,2023-10-08,3
Per Sundvall,2023-10-08,3
Pierre Eberhard Berg,2023-10-08,3
Tommy Runhammar,2023-10-08,3
Adem Can,2023-10-08,2
Adnan Tongur,2023-10-08,2
Alexander Pavlovic,2023-10-08,2
Ali Alizada,2023-10-08,2
Axel Szerszenski,2023-10-08,2
Dante Lindskog,2023-10-08,2
Gabriel Adolfsson,2023-10-08,2
Hajrudin Begic,2023-10-08,2
Idris Hasan Mohamed,2023-10-08,2
Joel Rudanko,2023-10-08,2
Linda Lindskog,2023-10-08,2
Måns Eliason,2023-10-08,2
Mustafa Er,2023-10-08,2
Mustafa Kalajdzisalihovic,2023-10-08,2
Oscar Skogsberg,2023-10-08,2
Roger Zahnér,2023-10-08,2
Sebastian Cedgard,2023-10-08,2
Senad Olevic,2023-10-08,2
Wessam Abdellrazek,2023-10-08,2
Yao-Zu Galby,2023-10-08,2
Albert Enlund,2023-10-08,1
Albin Rosberg,2023-10-08,1
Aldin Hadziselmovic,2023-10-08,1
Amir Huseinovic,2023-10-08,1
