Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-10-01,20:00,Damer Div. 3,Eken IBK D3,Stenungsunds IBK D3,Ekenhallen 1,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/42080/match/1647614
2025-10-01,19:00,Division 1 Herrar Västra Götaland,FBC Partille,Pixbo IBF,Partillebohallen,Jesper Björklund Greter,Sebastian Kiejs,https://stats.innebandy.se/sasong/43/serie/40701/match/1570536
2025-10-01,19:00,Herrar Div. 3 A,Myggenäs IBK H3,FBC Lerum H3,Häggvallsskolan,Jonny Gaardén,Thomas Andersson,https://stats.innebandy.se/sasong/43/serie/42064/match/1630642
2025-10-01,20:30,Juniorallsvenskan F DJ18,FBC Lerum Utveckling/FBC Lerum,Sandareds IBS /Fristad GoIF,Rydsbergshallen,Mattias Strid,Måns Bartilson,https://stats.innebandy.se/sasong/43/serie/41554/match/1594273
2025-10-01,20:15,Juniorallsvenskan G DJ18,IBK Göteborg,Warberg IBF,Torpahallen,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41555/match/1606464
2025-10-01,20:15,Juniorallsvenskan H HJ18,Landvetter IBK,Frölunda IBK,Pinntorps Idrottshall,Alexander Pavlovic,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/41546/match/1591874
2025-10-01,19:30,Pantamera Pojkar C-ungdom A,Öckerö IBK P10-13,IBK Elfhög P11 Gbg,Hedenskolans Idrottshall,Ali Noori,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/42375/match/1649574
2025-10-02,21:00,Herrar Div. 3 B,Pixbo IBF H3B,IK Zenith H3,Wallenstam Arena B,Thomas Andersson,Jonny Gaardén,https://stats.innebandy.se/sasong/43/serie/42065/match/1630513
2025-10-03,19:45,SSL - Svenska Superligan Herrar,Hovslätts IK,Pixbo IBK,Jönköpings Idrottshus Arenan,Martin Jonsson,Joakim Mattsson,https://stats.innebandy.se/sasong/43/serie/40693/match/1571787
2025-10-03,20:00,Damer Div. 1 region,Varla IBK Dam,Kustens IF,Skårbyhallen,Melker Kron,Linus Möller,https://stats.innebandy.se/sasong/43/serie/41175/match/1573075
2025-10-03,20:30,Damer Div. 1 region,Pixbo IBF,IBK Lund,Wallenstam Arena A,Robin Cederdahl,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41175/match/1573072
2025-10-03,19:00,Division 1 Herrar Västra Götaland,IBK Göteborg,Fagerhult Habo IBK,Lundenhallen,Christoffer Danielsson,Richard Claesson,https://stats.innebandy.se/sasong/43/serie/40701/match/1570533
2025-10-03,19:00,Herrar Div. 2,Lindome IBK H2,IBF Älvstranden H2,Almåshallen A,Hajrudin Begic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/42061/match/1629804
2025-10-03,17:41,Herrar Div. 2,Landvetter IBK H2,Almås IBF H2,Pinntorps Idrottshall,Tommy Runhammar,Mattias Strid,https://stats.innebandy.se/sasong/43/serie/42061/match/1629803
2025-10-03,20:00,Herrar Div. 2,Mölndals IBF H2,Göteborg City IBK H2,Aktiviteten A-Hall,Sandra Lindskog,Linda Lindskog,https://stats.innebandy.se/sasong/43/serie/42061/match/1629806
2025-10-03,19:30,Herrar Div. 3 A,Dingle AIK H3,Ale IBF H3,Munkedals Idrottshall,Wessam Abdellrazek,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/42064/match/1630645
2025-10-03,19:30,Herrar Div. 3 A,Orust IBK H3,Floda IBK H3,Svanesunds Sporthall,Carl Otterström,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/42064/match/1630646
2025-10-03,19:30,Herrar Div. 4 A,Surte IS IBK H4,IBF Backadalen H4,Bohushallen,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/42079/match/1647880
2025-10-03,19:30,Herrar Div. 4 A,Överby IBK H4,Orust IBK H4,Nordby Supermarkethallen A-hallen,Martin Andersson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/42079/match/1647881
