Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2023-08-11,19:30,Träningsmatcher SBIBF Dam,FBC Ljungby (D2),Lindås IBF (D1),Innebandyhallen,Kevin Andersson,Kristian Constantinescu,https://stats.innebandy.se/sasong/43/serie/34671/match/1412448
2023-08-12,14:00,Herrar tr-matcher 2023/24,IK Zenith,Nor 92,Björlanda Idrottshall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/34659/match/1412466
2023-08-12,15:00,Träningsmatcher Damer,Malmö FBC,FBC Partille,Kirsebergs Sporthall,Martin Matti,Simon Broman,https://stats.innebandy.se/sasong/43/serie/36067/match/1412715
2023-08-12,14:00,Träningsmatcher SBIBF Dam,Lindås IBF (D1),Växjö IBK Utveckling (D1),Innebandyhallen,Filip Karlsson,Kristian Constantinescu,https://stats.innebandy.se/sasong/43/serie/34671/match/1412474
2023-08-13,11:00,Träningsmatcher 2023/2024,Varla IBK Dam Div 1 / DJAS,Lindome IBK Allsv,Kungsbacka Sporthall A,Jacob Johansson,Tobias Anderberg,https://stats.innebandy.se/sasong/43/serie/35247/match/1417877
2023-08-13,11:00,Träningsmatcher SBIBF Dam,Lindås IBF (D1),Värnamo IK (D1),Innebandyhallen,Kevin Andersson,Kristian Constantinescu,https://stats.innebandy.se/sasong/43/serie/34671/match/1412449
2023-08-13,15:00,Träningsmatcher SBIBF Dam,Lindås IBF (D1),Hovslätts IK (D1),Innebandyhallen,Kevin Andersson,Kristian Constantinescu,https://stats.innebandy.se/sasong/43/serie/34671/match/1412450
2023-08-17,20:00,Träningsmatcher 2023/2024,Varla IBK Dam Div 1 / DJAS,Partille IBS D1,Kungsbacka Sporthall A,Tobias Sandblom,Albin Persson,https://stats.innebandy.se/sasong/43/serie/35247/match/1413451
2023-08-18,19:00,Damer tr-matcher 2023-24,FBC Lerum D1,Lindås Rasta IBK D Allsv,Rydsbergshallen,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34658/match/1412596
2023-08-19,14:00,Herrar tr-matcher 2023/24,FBC Partille Allsv,FBC Lerum Herr Allsv,Partillebohallen,Peter Novakovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/34659/match/1400575
2023-08-19,15:00,Herrar tr-matcher 2023/24,Floda IBK H1,Skövde IBF - Herr A,Nova Floda Sportcenter A-hall,Robin Boqvist,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/34659/match/1383198
2023-08-19,15:00,Herrar tr-matcher 2023/24,IBF Backadalen Herrar,Sarpsborg Sharks,Tuve Sporthall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/34659/match/1412279
2023-08-19,18:30,Träningsmatcher 2023/2024,Warberg IBF Herr JAS,Kärra IBK JAS,"Sparbanken Wictory Center, Unihocplanen",Jan Svensson,Jonas Söderberg,https://stats.innebandy.se/sasong/43/serie/35247/match/1413456
2023-08-19,12:00,Träningsmatcher 2023/24,Vara IBK H2,IBK Kungälv H1,Vara IBK Arena,Pedram Koublani,Carl Larsson,https://stats.innebandy.se/sasong/43/serie/35552/match/1387763
2023-08-19,14:00,Träningsmatcher 2023/24,IBK Vänersborg Herr A,Herrestads AIF Rockets H2,"Idrottshuset, Vänersborg",Henrik Carlsson,Richard Claesson,https://stats.innebandy.se/sasong/43/serie/35552/match/1365472
2023-08-19,16:00,Träningsmatcher SBIBF Dam,Växjö IBK (DA),IBF Backadalen (D1),Fortnox Arena A-hall,Johan Oxenmyr,Filip Karlsson,https://stats.innebandy.se/sasong/43/serie/34671/match/1412581
2023-08-20,16:00,Herrar tr-matcher 2023/24,Landvetter IBK H2,Rydboholms SK H2,Pinntorps Idrottshall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/34659/match/1413271
2023-08-20,16:00,Träningsmatcher 2023/2024,Onsala IBK Dam 1,Stenungsunds IBK D1,Presse Idrottshall,Christoffer Söderström,Tobias Sandblom,https://stats.innebandy.se/sasong/43/serie/35247/match/1413443
2023-08-23,00:05,Herrar tr-matcher 2023/24,Pixbo IBK SSL,FBC Lerum Herr Allsv,Wallenstam Arena A,Peter Novakovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/34659/match/1413728
2023-08-23,19:15,Herrar tr-matcher 2023/24,FBC Partille Allsv,Fristads GoIF Herr Allsvenskan,Partillebohallen,Aldin Hadziselmovic,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/34659/match/1400576
2023-08-23,19:30,Herrar tr-matcher 2023/24,Stenungsunds IBK H2,FBC Vinga A Lag Herrar,Stenungsund Arena,Carl Otterström,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/34659/match/1412441
2023-08-25,20:00,Herrar tr-matcher 2023/24,IBF Backadalen Herrar,Hovshaga AIF,Tuve Sporthall,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34659/match/1412280
2023-08-25,18:00,Träningsmatcher 2023/2024,Varla IBK P09,IBF Backadalen,Lindälvshallen,,,https://stats.innebandy.se/sasong/43/serie/35247/match/1414478
2023-08-26,14:00,Svenska Cupen Herrar Omg 1,Vinbergs IBS,Lindås IBK,Vinbergs Idrottshall,Tony Olsson,Sigge Svensson Martell,https://stats.innebandy.se/sasong/43/serie/34649/match/1347002
2023-08-26,16:00,Damer tr-matcher 2023-24,FBC Lerum D1,Kustens IF A Lag Dam,Arenahallen i Skene,Sebastian Kiejs,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/34658/match/1412597
2023-08-26,10:00,Herrar tr-matcher 2023/24,Pixbo IBF Div.3,Jönköpings IK Utveckling DIV4,Wallenstam Arena A,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34659/match/1413319
2023-08-26,12:30,Herrar tr-matcher 2023/24,Pixbo IBF H1,Jönköping IK Utveckling,Wallenstam Arena A,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34659/match/1413320
2023-08-26,13:00,Herrar tr-matcher 2023/24,FBC Lerum Herr Allsv,Fristads GoIF Herr Allsvenskan,Arenahallen i Skene,Gabriel Adolfsson,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/34659/match/1412514
2023-08-26,14:30,Herrar tr-matcher 2023/24,Floda IBK H1,Malmö FBC Herr A,Munkahallen,Måns Gilén,Ali Tourabi,https://stats.innebandy.se/sasong/43/serie/34659/match/1383343
2023-08-26,16:00,Herrar tr-matcher 2023/24,Mölndals IBF H1,Hovshaga AIF,Almåshallen A,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/34659/match/1413727
2023-08-26,15:00,Pojkar tr-matcher 2023-24,Pixbo IBF HJ,Jönköpings IK Utveckling HJ,Wallenstam Arena A,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34660/match/1413321
2023-08-26,11:15,Träningsmatcher Damer,IBK Lund Elit SSL Dam,Lindås IBK Dam,Lerbäckshallen A,,,https://stats.innebandy.se/sasong/43/serie/36067/match/1413696
2023-08-26,13:00,Träningsmatcher SBIBF Herr,Bergs IK (HJAS),IK Zenith (HJAS),Jönköpings Idrottshus Arenan,Adam Nikolausson,Anders A Nilsson,https://stats.innebandy.se/sasong/43/serie/34672/match/1414437
2023-08-26,16:00,Träningsmatcher SBIBF Herr,Hovslätts IK (HJAS),IK Zenith (HJAS),Jönköpings Idrottshus Arenan,Adam Nikolausson,Anders A Nilsson,https://stats.innebandy.se/sasong/43/serie/34672/match/1414438
2023-08-27,17:30,Svenska Cupen Damer Omg 1,FBC Partille,Fristads GoIF,Partillebohallen,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/34650/match/1347010
2023-08-27,13:30,Damer tr-matcher 2023-24,Pixbo IBF,Gjelleråsen IF,Wallenstam Arena A,Tommy Runhammar,Felix Broström,https://stats.innebandy.se/sasong/43/serie/34658/match/1414446
2023-08-27,15:00,Herrar tr-matcher 2023/24,IBK Kungälv H1,IK Zenith,Mimershus A-hallen,Hajrudin Begic,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34659/match/1412516
2023-08-27,11:00,Pojkar tr-matcher 2023-24,Pixbo IBF HJAS,Jönköpings IK Utveckling JAS,Wallenstam Arena A,Tommy Runhammar,Felix Broström,https://stats.innebandy.se/sasong/43/serie/34660/match/1413322
2023-08-29,18:00,Herrar tr-matcher 2023/24,IBK Göteborg H,FBC Partille Allsv,Lundenhallen,Robin Boqvist,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/34659/match/1412817
2023-08-29,19:30,Herrar tr-matcher 2023/24,Floda IBK H1,Frölunda IBK H2,Nova Floda Sportcenter A-hall,Adam Kruse,Pontus Ekengränd,https://stats.innebandy.se/sasong/43/serie/34659/match/1383344
2023-08-30,19:20,Pojkar tr-matcher 2023-24,Floda IBK P06,Mölndals IBF JAS,Nova Floda Sportcenter A-hall,Alexander Rydqvist,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/34660/match/1417874
