Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-10-01,18:15,Träningsmatcher pojkar,Lindome IBK P11,IBF Backadalen P11,Streteredsskolan,Josefin Sannerholm,Ian S Blomqvist,https://stats.innebandy.se/sasong/43/serie/38815/match/1543038
2024-10-02,19:00,Allsvenskan Damer Södra,Landvetter IBK,Lindome IBK,Pinntorps Idrottshall,Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/37995/match/1454335
2024-10-02,19:30,Division 1 Herrar Västra Götaland,Lindås IBK,FBC Partille,Lindås Waves Arena,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/38003/match/1453799
2024-10-02,19:30,Juniorallsvenskan H HJ18,Floda IBK,IBK Göteborg,Nova Floda Sportcenter A-hall,Linus Backlund,Henrik Nordström,https://stats.innebandy.se/sasong/43/serie/38706/match/1483846
2024-10-02,18:00,Pantamera Pojkar Röd B Höst,Stenungsunds IBK PJ,Kärra IBK P09/10,Stenungsund Arena,Mirela Mujic Dzanic,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/38230/match/1530788
2024-10-03,20:30,Klubbhuset Herrar Div. 3,Burås IK H3,Lindås IBF H3,Svingelns Sporthall,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/38220/match/1476797
2024-10-04,19:30,Klubbhuset Damer Div. 2,Öckerö IBK D2,FBC Vinga D2,Hedenskolans Idrottshall,Adnan Tongur,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38226/match/1477575
2024-10-04,19:15,Klubbhuset Herrar Div. 2,Mölndals IBF H2,IBK Göteborg H2,Aktiviteten A-Hall,Sebastian Kiejs,Jesper Björklund Greter,https://stats.innebandy.se/sasong/43/serie/38219/match/1476664
2024-10-04,20:15,Klubbhuset Herrar Div. 2,Kärra IBK H2,Almås IBF H2,Kärra Sporthall,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/38219/match/1476662
2024-10-04,19:15,Klubbhuset Herrar Div. 3,Eken IBK H3,Hovås IBK H3,Ekenhallen 1,Felix Bark Peterson,Mattias Strid,https://stats.innebandy.se/sasong/43/serie/38220/match/1476793
2024-10-04,19:30,Klubbhuset Herrar Div. 3,Dingle AIK H3,Korsvägen BBK H3,Munkedals Idrottshall,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/38220/match/1476795
2024-10-04,19:45,Klubbhuset Herrar Div. 5,IBK Kungälv H5,Herrestads AIF Rockets H5,Munkegärdehallen,Isak Skarrie,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/38222/match/1477150
2024-10-04,19:30,Klubbhuset Herrar Div. 6,Orust IBK H6,IBF Älvstranden H6,Svanesunds Sporthall,Senad Olevic,Henry Tames,https://stats.innebandy.se/sasong/43/serie/38223/match/1527513
2024-10-04,19:30,Damer Div. 1 region,IBK Lund,Åstorp/Kvidinge IBS,Lerbäckshallen A,Matti Rouhiainen,Albin Sadiku,https://stats.innebandy.se/sasong/43/serie/38741/match/1503984
2024-10-04,19:00,Juniorallsvenskan G DJ18,Ale IBF,FBC Lerum Utveckling/FBC Lerum,Ale Kulturrum,Henrik Nordström,Jesper Wångblad,https://stats.innebandy.se/sasong/43/serie/38754/match/1485228
2024-10-04,20:00,Juniorallsvenskan G DJ18,Landvetter IBK,Lindås IBF,Pinntorps Idrottshall,Linda Lindskog,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/38754/match/1485230
2024-10-04,19:30,Juniorallsvenskan H HJ18,Fritsla IF,IBK Kungälv,"Kungabergshallen, Fritsla",Pedram Koublani,Daniel Larm,https://stats.innebandy.se/sasong/43/serie/38706/match/1483845
2024-10-04,20:00,Juniorallsvenskan H HJ18,FBC Lerum Utveckling,Fristads GoIF/Rydboholms SK,Rydsbergshallen,Jonny Gaardén,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38706/match/1483844
2024-10-04,19:30,Pantamera Pojkar Röd C Höst,IBF Älvstranden P08/P10,FBC Lerum Utveckling P09 Röd,Santoshallen,Ali Alizada,Mohsen Gholami,https://stats.innebandy.se/sasong/43/serie/38231/match/1529921
