Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-09-01,16:00,Svenska Cupen Damer Omg 2 Grupp H,IBK Lockerud Mariestad,Lindome IBK,"ICA-kvantum hallen, Mariestad",Christian Jensen,Marcus Larsson,https://stats.innebandy.se/sasong/43/serie/38639/match/1525471
2024-09-01,14:00,Svenska Cupen Herrar Omg 2 Grupp F,FBC Lerum,Karlstad IBF,Lerum Arena A,Martin Jonsson,Joakim Mattsson,https://stats.innebandy.se/sasong/43/serie/38645/match/1525710
2024-09-01,10:40,Tössecupen Gruppspel,Säffle IBF,Herrestads AIF,Karlbergshallen Åmål,,,https://stats.innebandy.se/sasong/43/serie/39184/match/1533913
2024-09-01,12:20,Tössecupen Gruppspel,Åmåls IBK,Herrestads AIF,Karlbergshallen Åmål,,,https://stats.innebandy.se/sasong/43/serie/39184/match/1533915
2024-09-01,14:50,Tössecupen Gruppspel,Herrestads AIF,IBK Vänersborg HJ,Karlbergshallen Åmål,,,https://stats.innebandy.se/sasong/43/serie/39184/match/1533918
2024-09-01,15:40,Tössecupen Gruppspel,Tösse IF,Herrestads AIF,Karlbergshallen Åmål,,,https://stats.innebandy.se/sasong/43/serie/39184/match/1533919
2024-09-03,20:10,Träningsmatcher herrar,IBF Älvstranden H2,Göteborg City IBK H3,Santoshallen,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/38817/match/1528241
2024-09-03,20:30,Träningsmatcher herrar,IBF Backadalen H1,Landvetter IBK H2,Lundbyskolans sporthall A-hall,Peter Novakovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38817/match/1504107
2024-09-03,18:30,Träningsmatcher VIBF,IBK Alingsås JAS DJ18,Partille IBS Djas,"Stadsskogshallen, Alingsås",Daniel Larm,Patrik Augustsson,https://stats.innebandy.se/sasong/43/serie/38472/match/1534161
2024-09-04,19:30,Träningsmatcher herrar,Stenungsunds IBK H3,IBK Elfhög Herr A,Stenungsund Arena,Robin Boqvist,Håkan Krafft,https://stats.innebandy.se/sasong/43/serie/38817/match/1524584
2024-09-04,19:30,Träningsmatcher herrar,Korsvägen BBK A-Lag,Guldhedens IK Herrar,Valhalla C-hall,Marcus Larsson,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/38817/match/1533910
2024-09-04,19:15,Träningsmatcher pojkar,Floda IBK H-JAS,IBK Göteborg J18,Nova Floda Sportcenter A-hall,Felix Bark Peterson,Mattias Strid,https://stats.innebandy.se/sasong/43/serie/38815/match/1525187
2024-09-05,19:30,Träningsmatcher damer,Landvetter IBK Dam,Fristads GoIF Dam A,Pinntorps Idrottshall 1,Christer Carlberg,Mats Sällberg,https://stats.innebandy.se/sasong/43/serie/38818/match/1535080
2024-09-05,19:30,Träningsmatcher herrar,Lindome IBK H1,Floda IBK H1,Almåshallen A,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/38817/match/1524918
2024-09-06,18:30,Träningsmatcher damer,Pixbo IBF Damakademi,Lindås IBF D1,Wallenstam Arena A,Roger Zahnér,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/38818/match/1525249
