Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-06-02,18:00,Träningsmatcher flickor,FBC Lerum Utveckling F13,Landvetter IBK F13,Rydsbergshallen,Alexander Miriandis,Måns Eliason,https://stats.innebandy.se/sasong/43/serie/38816/match/1569462
2025-06-04,18:30,Träningsmatcher Pojkar,Herrestads AIF P09/10,Överby IBK P09/11,Rampen Sporthall (Källdalsskolan),Felix Bark Peterson,,https://stats.innebandy.se/sasong/43/serie/41411/match/1573480
2025-06-15,13:00,Träningsmatcher 2025/2026,Warberg IC SSL Herr,FBC Lerum,"Sparbanken Wictory Center, Unihocplanen",Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/41348/match/1576885
2025-06-26,20:00,Träningsmatcher Damer,Landvetter IBK D2,FBC Lerum Utveckling D2,Pinntorps Idrottshall 1,Adnan Tongur,Alexander T Forsberg,https://stats.innebandy.se/sasong/43/serie/41370/match/1625298
