Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2023-09-01,19:45,HAIK Elitcup Grupp A,IBK Kungälv,NOR 92 IBK,Klubbhuset Arena,,,https://stats.innebandy.se/sasong/43/serie/36135/match/1418459
2023-09-02,13:00,Damer tr-matcher 2023-24,Lindome IBK Allsv TM,IBF Backadalen Damer,Almåshallen A,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/34658/match/1414342
2023-09-02,11:00,HAIK Elitcup Grupp A,Karlstad IBF Ungdom,IBK Kungälv,Klubbhuset Arena,,,https://stats.innebandy.se/sasong/43/serie/36135/match/1418460
2023-09-02,16:00,HAIK Elitcup Grupp A,Hultsberg IBF,IBK Kungälv,AllOffice Arena,,,https://stats.innebandy.se/sasong/43/serie/36135/match/1418461
2023-09-02,11:00,Herrar tr-matcher 2023/24,Surte IS IBK H2,Borås IBF Herr Div 3,Bohushallen,Adam Jällfält,,https://stats.innebandy.se/sasong/43/serie/34659/match/1414258
2023-09-02,13:00,Herrar tr-matcher 2023/24,Surte IS IBK H5,Floda IBK H6,Bohushallen,Felix Broström,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/34659/match/1415353
2023-09-02,11:00,Träningsmatcher 2023/2024,Warberg IBF Herr JAS,FBC Partille Hj 18,"Sparbanken Wictory Center, Unihocplanen",Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/35247/match/1413457
2023-09-02,13:00,Träningsmatcher 2023/24,Fröjereds IBF Dam,Landvetter IBK Dam,"Sparbankshallen, T-holm",Erik Haglund,Anders Fridh,https://stats.innebandy.se/sasong/43/serie/35552/match/1418418
2023-09-03,10:00,HAIK Elitcup Placeringsmatch,IBK Kungälv,Skoghalls IBK Utveckling/Skoghalls IBK,AllOffice Arena,,,https://stats.innebandy.se/sasong/43/serie/36138/match/1418475
2023-09-03,15:00,Träningsmatcher 2023/2024,Halmstads IBK Herr,IBF Backadalen Herrar,Halmstad Arena B 1,Björn Ekberg,Eino Kozan,https://stats.innebandy.se/sasong/43/serie/35247/match/1415357
2023-09-04,19:30,Damer tr-matcher 2023-24,Dingle AIK Damer Div2,Stenungsunds IBK DAM Div.1,Munkedals Idrottshall,Måns Bartilson,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/34658/match/1415351
2023-09-05,19:00,Herrar tr-matcher 2023/24,Frölunda IBK H2,Särö IBK Herr,Frölunda Kulturhus,Felix Bark Peterson,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/34659/match/1418702
2023-09-07,19:15,Svenska Cupen Damer Omg 2 Grupp H,Lindås IBK,FBC Partille,Lindås Waves Arena,Josefine Hedelind,Martin Jonsson,https://stats.innebandy.se/sasong/43/serie/35493/match/1412701
2023-09-07,19:30,Herrar tr-matcher 2023/24,Lindome IBK H2,Mölndals IBF H1,Almåshallen A,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/34659/match/1420010
2023-09-07,19:40,Herrar tr-matcher 2023/24,Göteborg City IBK H3,Kärra IBK H5,Prioritet SERNEKE Arena B-Hallen,Felix Bark Peterson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/34659/match/1414439
2023-09-07,20:30,Herrar tr-matcher 2023/24,Floda IBK H1,Pixbo IBF H1,Nova Floda Sportcenter A-hall,Christian Jensen,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/34659/match/1413274
2023-09-08,19:00,SvC Herr Omg 2 FBC Partille - Pixbo IBK,FBC Partille,Pixbo IBK,Partillebohallen,Jesper Liedberg,Kevin Ramle,https://stats.innebandy.se/sasong/43/serie/36047/match/1412617
2023-09-08,19:00,SvC Herr Omg 2 Warberg IC - Lindås IBK,Lindås IBK,Warberg IC,Lindås Waves Arena,Daniel Hultberg,Edo Sabanovic,https://stats.innebandy.se/sasong/43/serie/36048/match/1412745
2023-09-08,19:15,Svenska Cupen Damer Omg 2 Grupp H,Warberg IC,Pixbo IBK,Wallenstam Arena A,Mathias Damgaard,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/35493/match/1412702
2023-09-08,19:30,Damer tr-matcher 2023-24,Floda IBK D1,Wårgårda IBK,Nova Floda Sportcenter A-hall,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/34658/match/1414441
2023-09-08,19:00,Herrar tr-matcher 2023/24,Surte IS IBK H2,Kärra IBK H2,Bohushallen,Roger Zahnér,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/34659/match/1414259
2023-09-08,18:50,HIBF Damcup Grupp C,Landvetter IBK,Grums IBK,ASP Arena,Christoffer Risberg,Anders Lidström,https://stats.innebandy.se/sasong/43/serie/36144/match/1418952
2023-09-08,21:40,HIBF Damcup Grupp C,Landvetter IBK,Skoghalls IBK Utveckling,AllOffice Arena,Emil Ahlström,Albin Lämmel,https://stats.innebandy.se/sasong/43/serie/36144/match/1418955
2023-09-08,19:30,Träningsmatcher 2023/24,Skara IBK Herr,Herrestads AIF Rockets H2,"Vilanhallen, Skara",Christoffer Danielsson,Martin Johansson,https://stats.innebandy.se/sasong/43/serie/35552/match/1412434
2023-09-08,19:30,Träningsmatcher 2023/24,Örebro SK Ung/Örebro SK,Floda IBK HJ Jas,"Viktoriaskolan, Skara",,,https://stats.innebandy.se/sasong/43/serie/35552/match/1419262
2023-09-09,13:00,Svenska Cupen Damer Omg 2 Grupp H,FBC Partille,Warberg IC,Wallenstam Arena A,Martin Johansson,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/35493/match/1412704
2023-09-09,16:00,Svenska Cupen Damer Omg 2 Grupp H,Pixbo IBK,Lindås IBK,Wallenstam Arena A,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/35493/match/1412703
2023-09-09,13:00,Damer tr-matcher 2023-24,Mölndals IBF Dam,Lindome IBK Allsv TM,Aktiviteten A-Hall,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/34658/match/1414340
2023-09-09,14:00,Herrar tr-matcher 2023/24,Lindome IBK H2,Floda IBK H1,Almåshallen A,Hajrudin Begic,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/34659/match/1413701
2023-09-09,18:00,Herrar tr-matcher 2023/24,Lindås IBF H3,Greåker IBK,Särö Idrottshall A-hallen,Felix Bark Peterson,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/34659/match/1419562
2023-09-09,09:00,HIBF Damcup Grupp C,BKI Sunnanå,Landvetter IBK,AllOffice Arena,Philip Aronsson-Elffors,Kim Persson,https://stats.innebandy.se/sasong/43/serie/36144/match/1418956
2023-09-09,13:50,HIBF Damcup Slutspel,Landvetter IBK,Kumla IBK,Klubbhuset Arena,Anders Lidström,Patrik Gottfridsson,https://stats.innebandy.se/sasong/43/serie/36146/match/1418981
2023-09-09,15:45,HIBF Damcup Slutspel,Filipstad IBK,Landvetter IBK,AllOffice Arena,Patrik Gottfridsson,Anders Lidström,https://stats.innebandy.se/sasong/43/serie/36146/match/1418983
2023-09-09,17:40,HIBF Damcup Slutspel,Karlstad IBF Ungdom,Landvetter IBK,AllOffice Arena,Albin Lämmel,Emil Ahlström,https://stats.innebandy.se/sasong/43/serie/36146/match/1418984
2023-09-09,11:00,Pojkar tr-matcher 2023-24,IBF Backadalen P10,IBK Göteborg P10/11,Tuve Sporthall,Adnan Tongur,Alexander Rydqvist,https://stats.innebandy.se/sasong/43/serie/34660/match/1419939
2023-09-09,13:30,Pojkar tr-matcher 2023-24,FBC Lerum Utveckling P09,IBK Göteborg P09/10 S,Rydsbergshallen,Karl Dahlsjö,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/34660/match/1419940
2023-09-09,10:00,Träningsmatcher 2023/2024,Warberg IBF Herr JAS,FBC Lerum,"Sparbanken Wictory Center, Unihocplanen",Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/35247/match/1413458
