Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-04-01,18:30,Damer Kvartsfinalserie 1 - SSL,Pixbo IBK,IBK Lund Elit,Wallenstam Arena A,Josefine Hedelind,Joakim Mattsson,https://stats.innebandy.se/sasong/43/serie/37462/match/1450673
2024-04-01,15:00,Kval till Allsv Dam Play Off 2G,Husqvarna IK,Landvetter IBK,Huskvarna Sportcenter Sporthall,Fredrik Billemark,Viktor Bringstam,https://stats.innebandy.se/sasong/43/serie/37446/match/1448624
2024-04-01,14:00,Kval till SSL Dam Play Off 1C,Telge SIBK,Lindome IBK,Västergård Arena A,Jonas Tidsjö,Henrik Hultin-Öberg,https://stats.innebandy.se/sasong/43/serie/37366/match/1450448
2024-04-03,19:40,Pantamera Pojkar Röd A Vår,IBK Kungälv P08 K Svart,Landvetter IBK P09 Vit,Munkegärdehallen,Semir Aganspahic,Hampus Räffling,https://stats.innebandy.se/sasong/43/serie/36843/match/1438479
2024-04-05,15:45,Flickor 16 Grupp B,IBK Alingsås,Landvetter IBK,Tipshallen - Växjö 2,Christoffer Fredriksson,Noah Gustafsson,https://stats.innebandy.se/sasong/43/serie/37329/match/1445905
2024-04-05,20:45,Flickor 16 Grupp B,Landvetter IBK,IK Sirius FBC,Fortnox Arena A-hall,Albin Lämmel,Edwin Sundström,https://stats.innebandy.se/sasong/43/serie/37329/match/1445906
2024-04-05,20:30,FPC F2010 grupp A,Bankeryds SMK,Dingle AIK,"FPC Jönköping Idrottshus Arenan, Stenbergs",Alex Lafourcade,Jonathan Kjellberg,https://stats.innebandy.se/sasong/43/serie/37125/match/1443907
2024-04-05,20:30,FPC F2010 grupp E,Hovshaga AIF,IBK Kungälv,"FPC Norrahammar Sporthall, Worksystem",Christopher Skäär,Oskar Kedmalm,https://stats.innebandy.se/sasong/43/serie/37129/match/1443931
2024-04-05,21:20,FPC F2010 grupp F,Stenungsunds IBK,Älmhults IBK,"FPC Jönköping Idrottshus D-hall, Hooks Herrgård",Hani Mousaviyan-Utter,Mikael Björkman,https://stats.innebandy.se/sasong/43/serie/37130/match/1443938
2024-04-05,18:00,FPC F2011 grupp D,Jönköpings IK 2,Landvetter IBK,"FPC Huskvarna Sportcenter Gymnastikhall, Husqvarna AB",Bujar Kuroshi,Elmar Delimehic,https://stats.innebandy.se/sasong/43/serie/37134/match/1444090
2024-04-05,19:40,FPC P2010 grupp A,Alvesta IBK,FBC Vinga,"FPC Jönköping Idrottshus Arenan, Stenbergs",Andreas Karlsson,Nelly Karlsson Quaade,https://stats.innebandy.se/sasong/43/serie/37135/match/1444299
2024-04-05,19:40,FPC P2010 grupp B,FBC Lerum U,Husqvarna IK Vit,"FPC Jönköping Idrottshus D-hall, Hooks Herrgård",Hani Mousaviyan-Utter,Mikael Björkman,https://stats.innebandy.se/sasong/43/serie/37136/match/1444305
2024-04-05,21:20,FPC P2010 grupp F,IBK Kungälv,Växjö IBK U Vit,"FPC Hisingstorpshallen, Myran",Peter Nykvist,Felix Kratz,https://stats.innebandy.se/sasong/43/serie/37140/match/1444330
2024-04-05,21:20,FPC P2010 grupp G,Mölndals IBF,Tunet IBK,"FPC Jönköping Idrottshus Arenan, Stenbergs",Alex Lafourcade,Jonathan Kjellberg,https://stats.innebandy.se/sasong/43/serie/37141/match/1444336
2024-04-05,18:00,FPC P2011 grupp C,KFUM Jönköping 2,Myggenäs IBK,"FPC Hisingstorpshallen, Myran",Kim Westlund,Pontus Hildinge Mickelsson,https://stats.innebandy.se/sasong/43/serie/37145/match/1444205
2024-04-05,12:00,Pojkar 16 Grupp E,Pixbo IBF,Grums IBK,Tipshallen - Växjö 2,Alvin Andersson,Felix Jonsson,https://stats.innebandy.se/sasong/43/serie/37324/match/1445893
2024-04-05,17:00,Pojkar 16 Grupp E,Storvreta Ungdom IBK,Pixbo IBF,Fortnox Arena A-hall,Robin Aidanpää,Anton Backelind,https://stats.innebandy.se/sasong/43/serie/37324/match/1445895
2024-04-05,13:30,Pojkar 16 Grupp H,FBC Partille,Linköping IBK Ungdom,Fortnox Arena B-hall,Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/37327/match/1445832
2024-04-05,18:30,Pojkar 16 Grupp H,Värmdö IF,FBC Partille,Fortnox Arena B-hall,Markus Åberg,Emil Åkervik,https://stats.innebandy.se/sasong/43/serie/37327/match/1445834
2024-04-06,12:30,Flickor 16 Grupp B,Landvetter IBK,Onyx IBS,Fortnox Arena B-hall,Tindra Edlund,Sanna Åslin,https://stats.innebandy.se/sasong/43/serie/37329/match/1445909
2024-04-06,19:15,Flickor 16 Slutspel,Värmdö IF,Landvetter IBK,Fortnox Arena A-hall,Albin Lämmel,Edwin Sundström,https://stats.innebandy.se/sasong/43/serie/37338/match/1446170
2024-04-06,09:00,FPC F 2012 grupp A,Husqvarna IK Svart,Pixbo IBK Röd,"FPC Jönköping Idrottshus B-hall, ICA Klostergatan",Frans Sundberg,Safaa Abdulaal,https://stats.innebandy.se/sasong/43/serie/37087/match/1444839
2024-04-06,09:45,FPC F 2012 grupp A,Husqvarna IK Vit,FBC Lerum Svart,"FPC Torpshallen, Homerunners",Axel Wilsson Eng,Olle Ahnström,https://stats.innebandy.se/sasong/43/serie/37087/match/1444843
2024-04-06,10:30,FPC F 2012 grupp A,FBC Lerum Röd,Hovslätts IK,"FPC Torpshallen, Homerunners",Axel Wilsson Eng,Olle Ahnström,https://stats.innebandy.se/sasong/43/serie/37087/match/1444845
2024-04-06,12:00,FPC F 2012 grupp A,IBF Älvstranden,Ingelstad IBK,"FPC Jönköping Idrottshus B-hall, ICA Klostergatan",Alex Lafourcade,Jonathan Kjellberg,https://stats.innebandy.se/sasong/43/serie/37087/match/1444848
2024-04-06,12:00,FPC F 2012 grupp A,Månsarps IBK Lila,Pixbo IBK Vit,"FPC Torpshallen, Homerunners",Oskar Ekelund,William Idh,https://stats.innebandy.se/sasong/43/serie/37087/match/1444849
