Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-03-01,16:00,SSL - Svenska Superligan Herrar,Nykvarns IBF,Pixbo IBK,Furuborghallen,Glenn Boström,Håkan Söderman,https://stats.innebandy.se/sasong/43/serie/37998/match/1453629
2025-03-01,16:00,SSL - Svenska Superligan Damer,Pixbo IBK,Täby FC IBK,Wallenstam Arena A,David Dornlöv,Hussein Ibrahim,https://stats.innebandy.se/sasong/43/serie/37999/match/1453305
2025-03-01,14:30,Klubbhuset Damer Div. 2,IBK Göteborg D2,Ale IBF D2,Lundenhallen,Sebastian Kiejs,Henrik Nordström,https://stats.innebandy.se/sasong/43/serie/38226/match/1477684
2025-03-01,15:00,Klubbhuset Damer Div. 2,Mölndals IBF D2,Pinntorp IBF D2,Aktiviteten A-Hall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/38226/match/1477687
2025-03-01,16:30,Klubbhuset Damer Div. 2,Lindås IBF D2,Almås IBF D2,Lindås Waves Arena,Mats Sällberg,Christer Carlberg,https://stats.innebandy.se/sasong/43/serie/38226/match/1477682
2025-03-01,17:00,Klubbhuset Damer Div. 3,Mölndals IBF D3,Burås IK D3,Aktiviteten A-Hall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/38227/match/1475776
2025-03-01,13:30,Klubbhuset Herrar Div. 2,Frölunda IBK H2,Kärra IBK H2,Frölunda Kulturhus,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/38219/match/1476772
2025-03-01,14:30,Klubbhuset Herrar Div. 2,IK Zenith H2,Almås IBF H2,Björlanda Idrottshall,Linda Lindskog,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/38219/match/1476768
2025-03-01,17:00,Klubbhuset Herrar Div. 2,IBK Göteborg H2,IBF Älvstranden H2,Lundenhallen,Sebastian Kiejs,Henrik Nordström,https://stats.innebandy.se/sasong/43/serie/38219/match/1476770
2025-03-01,19:30,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,Surte IS IBK H2,Rydsbergshallen,Alexander Pavlovic,Aldin Hadziselmovic,https://stats.innebandy.se/sasong/43/serie/38219/match/1476771
2025-03-01,14:00,Klubbhuset Herrar Div. 3,Stenungsunds IBK H3,Dingle AIK H3,Munkedals Idrottshall,Alexander Warberg,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38220/match/1476905
2025-03-01,19:00,Klubbhuset Herrar Div. 3,Lindås IBF H3,Eken IBK H3,Lindås Waves Arena,Magnus Fredriksson,Jonny Gaardén,https://stats.innebandy.se/sasong/43/serie/38220/match/1476903
2025-03-01,12:30,Klubbhuset Herrar Div. 4,Mölndals IBF H4,Utbynäs SK H4,Aktiviteten A-Hall,Thomas Andersson,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38221/match/1477077
2025-03-01,15:00,Klubbhuset Herrar Div. 5,Herrestads AIF Rockets H5,Överby IBK H5,Rampen Sporthall (Källdalsskolan),Susanne Andersson,Zara Carlsson,https://stats.innebandy.se/sasong/43/serie/38222/match/1477256
2025-03-01,17:00,Klubbhuset Herrar Div. 5,KFKD H5,Kärra IBK H5,Lundbystrand 3,Martin Andersson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/38222/match/1477254
2025-03-01,15:00,Klubbhuset Herrar Div. 6,Myggenäs IBK H6,IBK Kungälv H6/HV,Häggvallsskolan,Adem Can,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/38223/match/1527643
2025-03-01,14:00,Allsvenskan Damer Södra,Lindome IBK,Jönköpings IK,Almåshallen A,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/37995/match/1454438
2025-03-01,14:30,Allsvenskan Damer Södra,FBC Partille,Lillån IBK,Partillebohallen,Christoffer Frykestam,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/37995/match/1454437
2025-03-01,16:00,Allsvenskan Herrar,Fagerhult Habo IBK,FBC Lerum,Habo Arena,Erik Hindemith,Fredrik Lundborg,https://stats.innebandy.se/sasong/43/serie/37996/match/1453144
2025-03-01,12:00,Damer Div. 1 region,Höllvikens IBF,FBC Engelholm,Halörhallen,Niclas Eriksson,Robin Jönsson,https://stats.innebandy.se/sasong/43/serie/38741/match/1504092
2025-03-01,14:00,Damer Div. 1 region,Kustens IF,Onsala IBK,Haverdalshallen,Eino Kozan,Kalle Borgen,https://stats.innebandy.se/sasong/43/serie/38741/match/1504088
2025-03-01,15:30,Damer Div. 1 region,Åstorp/Kvidinge IBS,Pixbo IBF,Arena Åstorp,Simon Björkman Rydnemalm,Ante Johansson Stenholm,https://stats.innebandy.se/sasong/43/serie/38741/match/1504090
2025-03-01,16:00,Damer Div. 1 region,FBC Lerum,Lindås IBK,Lerum Arena A,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/38741/match/1504091
2025-03-01,14:00,Division 1 Herrar Västra Götaland,Fristads GoIF,Pixbo IBF,Nya Fristadshallen,Andreas Holm,Jesper Rygert,https://stats.innebandy.se/sasong/43/serie/38003/match/1453903
2025-03-01,14:00,Division 1 Herrar Västra Götaland,Lindås IBK,Floda IBK,Lindås Waves Arena,Robin Boqvist,Richard Claesson,https://stats.innebandy.se/sasong/43/serie/38003/match/1453905
2025-03-01,14:30,Division 1 Herrar Västra Götaland,Gränna AIS,FBC Partille,Ribbahallen A-hall,August Ericsson,Moltas Gunnarsson,https://stats.innebandy.se/sasong/43/serie/38003/match/1453908
2025-03-01,16:00,Division 1 Herrar Västra Götaland,IBK Lockerud Mariestad,IBF Backadalen,"ICA-kvantum hallen, Mariestad",Erik Bergström,Albin Jakobsson,https://stats.innebandy.se/sasong/43/serie/38003/match/1453906
2025-03-01,11:30,Juniorallsvenskan H DJ18,Lindås IBK,IBK Lund,Lindås Waves Arena,Adnan Mehmedagic,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/38755/match/1485392
2025-03-01,16:30,Juniorallsvenskan H DJ18,Malmö FBC/Malmö FBC Utveckling,Lindome IBK,Baltiska Hallen B,Cevin Ivarsson,Pelle Verhulst,https://stats.innebandy.se/sasong/43/serie/38755/match/1485390
2025-03-01,13:30,Klubbhuset Blå Flickor 1 A-B VÅR,Hindås IBK F13,Pixbo IBK F13/14 Rödrävar,Hindås Idrottshall,Halina Karnili,Clara Bergström,https://stats.innebandy.se/sasong/43/serie/39814/match/1555072
2025-03-01,12:00,Klubbhuset Blå Flickor 1 B-C VÅR,FBC Partille F 12/14 Röd,Lindome IBK F13 Grön,Qvisthallen,Anton Stenberg,William Lindroos,https://stats.innebandy.se/sasong/43/serie/39815/match/1555044
2025-03-01,13:30,Klubbhuset Blå Flickor 1 B-C VÅR,IBF Backadalen F13 Röd,FBC Lerum Utveckling F13 Röd,Tuve Sporthall,Hugo Ekström Siljat,Alvar Rosander,https://stats.innebandy.se/sasong/43/serie/39815/match/1555042
2025-03-01,10:00,Klubbhuset Blå Flickor 2 B-C VÅR,Stenungsunds IBK F13-14 Blå,Lindome IBK F14/15 Lila,Stenungsund Arena,Alvin Andersson,Julius Jensen,https://stats.innebandy.se/sasong/43/serie/39817/match/1554965
2025-03-01,14:30,Klubbhuset Blå Flickor 2 B-C VÅR,IBF Backadalen F14 Svart,Stenungsunds IBK F13-14 Svart,Tuve Sporthall,Hugo Ekström Siljat,Alvar Rosander,https://stats.innebandy.se/sasong/43/serie/39817/match/1554966
2025-03-01,09:00,Klubbhuset Blå Flickor 3 A-B VÅR,FBC Partille FP 15 Partille Grön,Lindås IBK F14-15 Svart,Qvisthallen,Wilmer Albo,Anton Stenberg,https://stats.innebandy.se/sasong/43/serie/39818/match/1554829
2025-03-01,09:00,Klubbhuset Blå Flickor 3 B-C VÅR,Landvetter IBK F15 Blå,Pixbo IBK F15 Röd,Pinntorps Idrottshall,Alexander Acke,Lina Lind,https://stats.innebandy.se/sasong/43/serie/39819/match/1554912
2025-03-01,09:00,Klubbhuset Blå Pojkar 1A,Mölndals IBF P13 Vit,Lindome IBK P13 Grön,Aktiviteten A-Hall,Leon Hulten,Widar Vanberg,https://stats.innebandy.se/sasong/43/serie/39804/match/1555113
2025-03-01,11:00,Klubbhuset Blå Pojkar 1A,Landvetter IBK P13,Lindås IBK P13 Turkos,Pinntorps Idrottshall,Alexander Acke,Oscar Gustavsson,https://stats.innebandy.se/sasong/43/serie/39804/match/1555112
2025-03-01,12:00,Klubbhuset Blå Pojkar 1B,Myggenäs IBK P-13,Pixbo IBK P13,Häggvallsskolan,Henry Frydensbjerg,Hugo Sommargren,https://stats.innebandy.se/sasong/43/serie/39805/match/1555161
2025-03-01,12:30,Klubbhuset Blå Pojkar 1B,Hindås IBK P13 Vit,Lindome IBK P13 Vit,Hindås Idrottshall,Halina Karnili,Clara Bergström,https://stats.innebandy.se/sasong/43/serie/39805/match/1555159
2025-03-01,15:00,Klubbhuset Blå Pojkar 1B,IBK Bergum P13 Svart,Utbynäs SK P 13,Bergumsskolan,Meja Edelman,Maja Wogel,https://stats.innebandy.se/sasong/43/serie/39805/match/1555158
