Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-08-04,14:00,Träningsmatcher herrar,Pixbo IBK SSL,FBC Lerum Herr Allsv,Wallenstam Arena A,Peter Novakovic,David Geiser Mellkvist,https://stats.innebandy.se/sasong/43/serie/38817/match/1524162
2024-08-10,12:00,Träningsmatcher 2024/2025,Warberg IBF P16 USM,Lindås IBF Herrakademi,"Sparbanken Wictory Center, Unihocplanen",Marcus Yngvesson,Christoffer Söderström,https://stats.innebandy.se/sasong/43/serie/38591/match/1524789
2024-08-10,15:00,Träningsmatcher 2024/2025,Warberg IBF Herr JAS,Lindås IBK HJAS,"Sparbanken Wictory Center, Unihocplanen",Christoffer Söderström,Marcus Yngvesson,https://stats.innebandy.se/sasong/43/serie/38591/match/1524790
2024-08-10,14:00,Träningsmatcher damer,IBF Backadalen Damer,Onsala IBK Dam 1,Tuve Sporthall,Tommy Runhammar,Jesper Björklund Greter,https://stats.innebandy.se/sasong/43/serie/38818/match/1474073
2024-08-11,14:00,Träningsmatcher damer,Lindås IBF D1,Lindome IBK Allsv TM,Lindås Waves Arena,Torbjörn Zahner,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38818/match/1524920
2024-08-11,14:30,Träningsmatcher damer,FBC Partille D Allsv,Warberg IC Dam,Partillebohallen,Adnan Tongur,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/38818/match/1524936
2024-08-11,14:00,Träningsmatcher herrar,FBC Lerum Herr Allsv,IBK Kungälv H1,Nova Floda Sportcenter A-hall,Peter Novakovic,David Geiser Mellkvist,https://stats.innebandy.se/sasong/43/serie/38817/match/1524163
2024-08-13,19:30,Träningsmatcher herrar,Floda IBK H1,Kärra IBK H2,Nova Floda Sportcenter A-hall,Peter Novakovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38817/match/1524567
2024-08-15,19:45,Träningsmatcher damer,FBC Lerum,Lindås IBK Dam,Rydsbergshallen,Torbjörn Zahner,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/38818/match/1482191
2024-08-16,19:00,Träningsmatcher 2024/2025,Warberg IBF Herr JAS,FBC Partille Hj 18,Brearedshallen,Jacob Johansson,Tobias Anderberg,https://stats.innebandy.se/sasong/43/serie/38591/match/1524821
2024-08-16,19:00,Träningsmatcher 2024/2025,Warberg IC Herr,FBC Lerum Herr A-Lag,"Sparbanken Wictory Center, Unihocplanen",Andreas Lybacken,Daniel Böcker,https://stats.innebandy.se/sasong/43/serie/38591/match/1525117
2024-08-16,18:30,Träningsmatcher pojkar,Lindås IBF Herrakademi,Frölunda IBK Herrjuniorer,Lindås Waves Arena,Senad Olevic,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38815/match/1525778
2024-08-17,10:00,Träningsmatcher damer,FBC Lerum Utveckling D3,Lindås IBF DJAS,Lindås Waves Arena,Torbjörn Zahner,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38818/match/1524886
2024-08-17,15:00,Träningsmatcher damer,Lindome IBK Allsv TM,Onsala IBK Dam 1,Almåshallen A,Alexander Pavlovic,Sebastian Kiejs,https://stats.innebandy.se/sasong/43/serie/38818/match/1525245
2024-08-17,13:30,Träningsmatcher Damer,Malmö FBC Dam A,FBC Partille D Allsv,Stadions Sporthall,,,https://stats.innebandy.se/sasong/43/serie/38975/match/1528096
2024-08-17,15:00,Träningsmatcher flickor,FBC Lerum F08,Lindås IBF DJAS,Lindås Waves Arena,Amel Kosovac,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/38816/match/1524888
2024-08-17,12:30,Träningsmatcher herrar,Lindås IBK Herr,Fagerhult Habo IBK Alls,Lindås Waves Arena,Adnan Tongur,Martin Almsberg,https://stats.innebandy.se/sasong/43/serie/38817/match/1524893
2024-08-17,11:00,Träningsmatcher VIBF,IBK Vänersborg Herr A (Träningsmatcher),Stenungsunds IBK H3,"Idrottshuset, Vänersborg",Sven Persson,Linus Backlund,https://stats.innebandy.se/sasong/43/serie/38472/match/1525577
2024-08-17,14:00,Träningsmatcher VIBF,IBK Alingsås Dam,IBF Backadalen Damer,"Stadsskogshallen, Alingsås",Daniel Larm,Henrik Sjöberg,https://stats.innebandy.se/sasong/43/serie/38472/match/1525857
2024-08-17,15:00,Träningsmatcher VIBF,Vara IBK H2,IBK Göteborg H2,Prioritet SERNEKE Arena A-Hallen,Pedram Koublani,Nebojsa Stefanovski,https://stats.innebandy.se/sasong/43/serie/38472/match/1525799
2024-08-18,12:30,Träningsmatcher,Västsvenska P07,Västsvenska P08,Kviberg Arena B,Mattias Strid,Mustafa Kalajdzisalihovic,https://stats.innebandy.se/sasong/43/serie/39089/match/1525368
2024-08-18,14:00,Träningsmatcher,Västsvenska P08,Västsvenska P06,Kviberg Arena B,Mattias Strid,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/39089/match/1525413
