Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-05-04,13:00,Grupp 2,FBC Partille D Allsv,Lindås IBK Dam,Partillebohallen,Marcus Larsson,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/37619/match/1450763
2024-05-05,16:00,Damer tr-matcher 2023-24,FBC Lerum D2,Floda IBK D3,Rydsbergshallen,Mats Sällberg,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/34658/match/1452206
2024-05-05,17:00,Grupp 1,Landvetter IBK Dam,Lindome IBK Allsv,Pinntorps Idrottshall,Robin Boqvist,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/37618/match/1450750
2024-05-07,19:30,Grupp Herrar DM,IBK Bergum H4,Lindås IBK Herr,Bergumsskolan,Felix Bark Peterson,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/37696/match/1450943
2024-05-12,10:15,Pojkar tr-matcher 2023-24,Pixbo IBK P12,Varla IBK P12 Kungsbacka,Wallenstam Arena A,Per Sundvall,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/34660/match/1452398
2024-05-12,17:00,Slutspel DM Damer,Landvetter IBK,FBC Partille D Allsv,Pinntorps Idrottshall 1,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/37620/match/1450771
2024-05-13,18:30,Flickor Tr-matcher 2023-24,IBK Kungälv F10/11/12,FBC Lerum F10,Kastellegårdshallen,Per Sundvall,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/34661/match/1452727
2024-05-13,19:00,Slutspel DM Damer,Lindås IBK Dam,Lindome IBK Allsv,Lindås Waves Arena,Tommy Runhammar,Måns Bartilson,https://stats.innebandy.se/sasong/43/serie/37620/match/1450770
2024-05-14,18:45,Flickor Tr-matcher 2023-24,IBF Älvstranden DJ,FBC Lerum F08/09,Santoshallen,Roger Zahnér,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/34661/match/1452725
2024-05-18,14:00,Pojkar tr-matcher 2023-24,Pixbo IBF P10,Kinna IBK P010,Hindås Idrottshall,Mustafa Kalajdzisalihovic,Hampus Räffling,https://stats.innebandy.se/sasong/43/serie/34660/match/1452383
2024-05-20,18:30,Flickor Tr-matcher 2023-24,IBK Kungälv F10/11/12,Kärra IBK F11/12,Kastellegårdshallen,Per Sundvall,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/34661/match/1452724
2024-05-22,20:15,Herrar DM Final,Lindås IBK Herr,Frölunda IBK H2,Kviberg Arena B,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/38329/match/1452795
2024-05-22,18:30,Slutspel DM Damer,Landvetter IBK,Lindås IBK Dam,Kviberg Arena B,Oscar Skogsberg,Marcus Larsson,https://stats.innebandy.se/sasong/43/serie/37620/match/1450772
