Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-03-01,19:30,Klubbhuset Damer Div. 2,Öckerö IBK D2,Dingle AIK D2,Hedenskolans Idrottshall,Henrik Nordström,Linus Backlund,https://stats.innebandy.se/sasong/43/serie/35124/match/1373205
2024-03-01,20:00,Klubbhuset Damer Div. 2,FBC Lerum D2,IBK Älvstranden Dam,Lerum Arena C,Per Sundvall,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/35124/match/1373202
2024-03-01,20:00,Klubbhuset Damer Div. 3,Eken IBK D3,Floda IBK FBC Partille D3,Ekenhallen 1,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/35125/match/1413008
2024-03-01,20:00,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,Lindome IBK H2,Rydsbergshallen,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35117/match/1372203
2024-03-01,20:15,Klubbhuset Herrar Div. 2,Landvetter IBK H2,Surte IS IBK H2,Pinntorps Idrottshall,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372205
2024-03-01,19:30,Klubbhuset Herrar Div. 3,Lindome IBK H3,Floda IBK H3,Almåshallen A,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35118/match/1372856
2024-03-01,19:30,Klubbhuset Herrar Div. 4,Herrestads AIF Rockets H4,Öckerö IBK H4,Rampen Sporthall (Källdalsskolan),Magnus Fredriksson,Amir Huseinovic,https://stats.innebandy.se/sasong/43/serie/35119/match/1372693
2024-03-01,19:30,Klubbhuset Herrar Div. 5,Orust IBK H5,Frölunda IBK H5,Svanesunds Sporthall,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/35120/match/1372990
2024-03-01,20:15,Klubbhuset Herrar Div. 6,Mölndals IBF H6,IBF Backadalen H6,Tuve Sporthall,Roger Zahnér,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/35121/match/1413097
2024-03-01,19:30,Herrar Div 1 Västra Götaland,Pixbo IBF,IBK Kungälv,Wallenstam Arena A,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/34681/match/1343066
