Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-11-01,19:30,Klubbhuset Herrar Div. 3,Dingle AIK H3,Eken IBK H3,Munkedals Idrottshall,Roger Zahnér,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/38220/match/1476817
2024-11-01,19:30,Klubbhuset Herrar Div. 4,Öckerö IBK H4,IBK Kungälv H4,Hedenskolans Idrottshall,Wessam Abdellrazek,Amir Huseinovic,https://stats.innebandy.se/sasong/43/serie/38221/match/1476998
2024-11-01,19:00,Klubbhuset Herrar Div. 5,Herrestads AIF Rockets H5,Lindome IBK H5,Rampen Sporthall (Källdalsskolan),Mustafa Er,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/38222/match/1477175
2024-11-01,19:00,Division 1 Herrar Västra Götaland,IBK Alingsås,FBC Partille,"Stadsskogshallen, Alingsås",Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/38003/match/1453824
2024-11-01,19:30,Division 1 Herrar Västra Götaland,Pixbo IBF,Lindås IBK,Wallenstam Arena A,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/38003/match/1453820
2024-11-01,18:30,Juniorallsvenskan G DJ18,Landvetter IBK,FBC Partille/Floda IBK,Pinntorps Idrottshall,Almir Mehmedagic,Jesper Wångblad,https://stats.innebandy.se/sasong/43/serie/38754/match/1485249
2024-11-01,19:00,Juniorallsvenskan G DJ18,Ale IBF,Lindås IBF,Ale Kulturrum,Alexander Pavlovic,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/38754/match/1485252
2024-11-01,20:00,Juniorallsvenskan G DJ18,Pixbo IBF,IBK Alingsås,Wallenstam Arena B,Sebastian Kiejs,Jesper Björklund Greter,https://stats.innebandy.se/sasong/43/serie/38754/match/1485248
2024-11-01,20:00,Juniorallsvenskan H HJ18,IBK Göteborg,Landvetter IBK,Torpahallen,Mattias Strid,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/38706/match/1483861
2024-11-01,19:45,Pantamera Flick Mörkröd B Höst,IBK Kungälv DJ,Pinntorp IBF F09-10 Blå,Kastellegårdshallen,Hampus Räffling,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/38252/match/1530429
