Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-01-03,20:00,SSL - Svenska Superligan Herrar,Pixbo IBK,FBC Kalmarsund,Scandinavium,Frans Dahlstedt,Andreas Morelius,https://stats.innebandy.se/sasong/43/serie/37998/match/1453566
2025-01-04,20:00,SSL - Svenska Superligan Damer,Pixbo IBK,KAIS Mora IF,Wallenstam Arena A,Andreas Bengtsson Degen,Johannes Ekenberg,https://stats.innebandy.se/sasong/43/serie/37999/match/1453251
2025-01-04,17:00,Allsvenskan Herrar,FBC Lerum,Strängnäs IBK,Lerum Arena A,Ola Nilsson,Mattias Sjöstedt,https://stats.innebandy.se/sasong/43/serie/37996/match/1453099
2025-01-04,15:00,Division 1 Herrar Västra Götaland,Floda IBK,IBF Backadalen,Nova Floda Sportcenter A-hall,Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/38003/match/1453860
2025-01-05,14:00,Damer Div. 1 region,Warberg IBF,Pixbo IBF,"Sparbanken Wictory Center, Unihocplanen",Jan Svensson,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/38741/match/1504032
2025-01-05,13:30,Klubbhuset Blå Pojkar 3C,Öckerö IBK P15,Floda IBK P15 Svart,Hedenskolans Idrottshall,Philip Tindvall,,https://stats.innebandy.se/sasong/43/serie/39133/match/1526431
2025-01-07,18:30,Svenska Cupen Damer Semifinal 2,Pixbo IBK,FBC Kalmarsund,Wallenstam Arena A,Philip Aronsson-Elffors,Josefine Hedelind,https://stats.innebandy.se/sasong/43/serie/39511/match/1547276
2025-01-07,19:30,Division 1 Herrar Västra Götaland,IBK Kungälv,FBC Partille,Mimershus A-hallen,Albert Enlund,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/38003/match/1453858
2025-01-07,20:15,Träningsmatcher herrar,FBC Vinga A Lag Herrar,Stenungsunds IBK H3,Frölunda Kulturhus,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/38817/match/1554671
2025-01-08,19:00,SSL - Svenska Superligan Herrar,Warberg IC,Pixbo IBK,Arena Varberg,David Geiser Mellkvist,Peter Novakovic,https://stats.innebandy.se/sasong/43/serie/37998/match/1453569
2025-01-08,19:30,Damer Div. 1 region,Warberg IBF,IK Zenith,"Sparbanken Wictory Center, Unihocplanen",Kalle Borgen,Marcus Johansson,https://stats.innebandy.se/sasong/43/serie/38741/match/1504049
2025-01-08,19:30,Division 1 Herrar Västra Götaland,Pixbo IBF,IBK Alingsås,Wallenstam Arena A,Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/38003/match/1453856
2025-01-08,20:15,Träningsmatcher 2024/2025,Varla IBK Dam Div 2 / DJAS,IBF Backadalen Damer,Skårbyhallen,Viktoria Wallström,Matilda Wittink,https://stats.innebandy.se/sasong/43/serie/38591/match/1560430
2025-01-08,19:45,Träningsmatcher herrar,Utbynäs SK H4,Göteborg City IBK H3,Kviberg Arena B,Wessam Abdellrazek,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/38817/match/1556183
2025-01-09,20:30,Juniorallsvenskan G DJ18,Lindås IBF,Landvetter IBK,Lindås Waves Arena,Adnan Tongur,Henrik Nordström,https://stats.innebandy.se/sasong/43/serie/38754/match/1485275
2025-01-10,18:30,Klubbhuset Damer Div. 2,Lindås IBF D2,Ale IBF D2,Lindås Waves Arena,Mattias Strid,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/38226/match/1477640
2025-01-10,19:30,Klubbhuset Damer Div. 2,Floda IBK D2,Pinntorp IBF D2,Nova Floda Sportcenter A-hall,Robin Cederdahl,Magnus Fredriksson,https://stats.innebandy.se/sasong/43/serie/38226/match/1477643
2025-01-10,19:30,Klubbhuset Herrar Div. 2,Herrestads AIF H2,Landvetter IBK H2,Rampen Sporthall (Källdalsskolan),Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/38219/match/1476729
