Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-09-01,19:15,Träningsmatcher Pojkar,Landvetter IBK JAS,Floda IBK JAS,Pinntorps Idrottshall 1,Goran Kuduzovic,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/41411/match/1645614
2025-09-02,20:15,Träningsmatcher Damer,FBC Vinga D2,Stenungsunds IBK D3,Frölunda Kulturhus,Per Sundvall,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41370/match/1644544
2025-09-03,18:15,Träningsmatcher 2025/2026,Warberg IBF Dam JAS,Pixbo IBF Damakademi,"Sparbanken Wictory Center, Unihocplanen",,,https://stats.innebandy.se/sasong/43/serie/41348/match/1643624
2025-09-03,19:30,Träningsmatcher 2025/2026,Varla IBK HU-Lag,IBF Backadalen H1,Lindälvshallen,Benjamin Olsen,Hampus Abrahamsson,https://stats.innebandy.se/sasong/43/serie/41348/match/1648273
2025-09-03,20:00,Träningsmatcher 2025/2026,Warberg IBF Dam JAS,Pixbo IBF Damakademi,"Sparbanken Wictory Center, Unihocplanen",Jan Svensson,Esaias Ivarsson,https://stats.innebandy.se/sasong/43/serie/41348/match/1643631
2025-09-03,19:15,Träningsmatcher Damer,FBC Partille Dam,Jönköpings IK A-Dam,Partillebohallen,Stefan Olsson,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/41370/match/1640519
2025-09-03,20:30,Träningsmatcher Damer,FBC Lerum Utveckling D2,Wårgårda IBK Dam A-Lag,Rydsbergshallen,Felix Bark Peterson,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41370/match/1640821
2025-09-03,20:15,Träningsmatcher Herrar,Landvetter IBK H2,IBK Alingsås H1,Pinntorps Idrottshall 1,Mattias Strid,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/41352/match/1640807
2025-09-04,20:15,Träningsmatcher 2025/2026,Varla IBK Dam Div 1 / DJAS,IBF Backadalen Damer,Skårbyhallen,Esaias Ivarsson,Benjamin Olsen,https://stats.innebandy.se/sasong/43/serie/41348/match/1645903
2025-09-04,19:00,Träningsmatcher Herrar,Frölunda IBK H2,FBC Vinga H2,Frölunda Kulturhus,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/41352/match/1640955
2025-09-04,18:30,Träningsmatcher Västergötland,IBK Elfhög Herr 3,Herrestads AIF H2,"Älvhögsborg, Entréhallen",Peter Jaeger,Emil Jacobsson,https://stats.innebandy.se/sasong/43/serie/41871/match/1645588
2025-09-04,19:45,Träningsmatcher Västergötland,Wårgårda IBK Herrjunior,Frölunda IBK Herrjuniorer,"Lena Sporthall, Östadkulle",Christian Ragnevi,Daniel Larm,https://stats.innebandy.se/sasong/43/serie/41871/match/1645275
2025-09-06,14:00,Träningsmatcher 2025/2026,Halmstads IBK Div 2,Göteborg City IBK H2,Halmstad Arena B 1,Björn Grahn,Jürgen Neuenhofen,https://stats.innebandy.se/sasong/43/serie/41348/match/1641618
2025-09-06,12:00,Träningsmatcher Damer,Pixbo IBF Div.1,Lindome IBK Allsv,Wallenstam Arena A,Wessam Abdellrazek,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41370/match/1640520
2025-09-06,15:30,Träningsmatcher Damer,Lindås IBK Dam Allsv,Danmarks Damlandslag,Frölunda Kulturhus,Yao-Zu Galby,Mats Sällberg,https://stats.innebandy.se/sasong/43/serie/41370/match/1640979
2025-09-06,15:30,Träningsmatcher herr/pojk,IBF Örebro Div 1,Floda IBK H1,"Idrottshuset, Örebro Plan 2",Fredrik Knutsson,Mats Eriksson,https://stats.innebandy.se/sasong/43/serie/42199/match/1640797
2025-09-06,11:00,Träningsmatcher Herrar,IBF Backadalen Div 4,Utbynäs SK H4,Tuve Sporthall,Adnan Tongur,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/41352/match/1646441
2025-09-06,13:00,Träningsmatcher Herrar,Surte IS IBK H2,IBK Elfhög Herr A,Bohushallen,Mattias Strid,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/41352/match/1643065
2025-09-06,14:00,Träningsmatcher Herrar,IBF Backadalen H1,IBK Göteborg H1,Tuve Sporthall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/41352/match/1640759
2025-09-06,16:00,Träningsmatcher Herrar,Pixbo IBK,Lindås IBK Herr Allsv,Wallenstam Arena A,Linda Lindskog,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/41352/match/1640785
2025-09-06,11:00,Träningsmatcher Pojkar,Surte IS IBK P11,IBK Kungälv P11,Bohushallen,Albin Wennersten,Joel Gabrielsson,https://stats.innebandy.se/sasong/43/serie/41411/match/1652269
2025-09-06,14:00,Träningsmatcher SBIBF Dam,Fagerhult Habo IBK Ungdom D1,FBC Lerum D1,Habo Sporthall A-hall,Daniel Pettersson,Magnus Widlund,https://stats.innebandy.se/sasong/43/serie/41918/match/1641904
2025-09-06,12:00,Träningsmatcher SBIBF Herr,Jönköpings IK Utveckling HJ18,FBC Partille HJ18,Habo Sporthall A-hall,Tina Sandberg,Alva Perman,https://stats.innebandy.se/sasong/43/serie/41338/match/1641906
2025-09-06,16:00,Träningsmatcher SBIBF Herr,Fagerhult Habo IBK Ungdom JAS,FBC Partille HJ18,Habo Sporthall A-hall,Daniel Pettersson,Magnus Widlund,https://stats.innebandy.se/sasong/43/serie/41338/match/1641907
2025-09-07,12:00,Träningsmatcher 2025/2026,Warberg IBF P09,FBC Partille P09 Vit,"Sparbanken Wictory Center, Unihocplanen",Axel Sagdahl,Albin Persson,https://stats.innebandy.se/sasong/43/serie/41348/match/1653125
2025-09-07,17:30,Träningsmatcher Damer,Floda IBK D1,IBK Vänersborg Dam A,Nova Floda Sportcenter A-hall,Adnan Tongur,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41370/match/1646442
2025-09-07,14:00,Träningsmatcher Herrar,Stenungsunds IBK H2,Nor92 IBK,Stenungsund Arena,Linus Backlund,Kristoffer Lind,https://stats.innebandy.se/sasong/43/serie/41352/match/1640801
2025-09-09,19:30,Träningsmatcher Damer,Landvetter IBK Dam Allsv,Jönköpings IK A-Dam,Pinntorps Idrottshall 1,Wessam Abdellrazek,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41370/match/1653127
2025-09-09,20:00,Träningsmatcher Damer,Guldhedens IK D2,Mölndals IBF D2/3,Valhalla C-hall,Mats Sällberg,Christer Carlberg,https://stats.innebandy.se/sasong/43/serie/41370/match/1640906
2025-09-09,20:15,Träningsmatcher Damer,FBC Vinga D2,Fritsla IF A-Lag Dam,Frölunda Kulturhus,Roger Zahnér,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/41370/match/1644545
2025-09-10,18:30,Träningsmatcher Flickor,IBF Backadalen F13,FBC Lerum Utveckling F13,Tuve Sporthall,Senad Olevic,Alexander Rydqvist,https://stats.innebandy.se/sasong/43/serie/41940/match/1648300
2025-09-10,20:00,Träningsmatcher Herrar,Mölndals IBF H2,IBF Backadalen H1,Aktiviteten A-Hall,Robin Boqvist,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41352/match/1649167
2025-09-10,19:20,Träningsmatcher Pojkar,Floda IBK HJ - P07-09,Varla IBK HU GBG,Nova Floda Sportcenter A-hall,Tommy Runhammar,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/41411/match/1641232
2025-09-10,20:15,Träningsmatcher Pojkar,Landvetter IBK JAS,IBK Göteborg HJAS,Pinntorps Idrottshall 1,Thomas Johansson,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/41411/match/1645531
2025-09-11,20:00,Träningsmatcher 2025/2026,Träslövsläge IF Herr Div 2,Floda IBK H1,Brearedshallen,Daniel Hultberg,Joakim Mattsson,https://stats.innebandy.se/sasong/43/serie/41348/match/1654098
2025-09-11,19:30,Träningsmatcher Damer,Lindås IBK Dam Allsv,IBF Backadalen Damer,Lindås Waves Arena,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/41370/match/1645822
2025-09-11,18:15,Träningsmatcher Flickor,IBK Kungälv DJAS,FBC Lerum Utveckling DJAS,Kastellegårdshallen,Senad Olevic,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/41940/match/1602196
2025-09-11,18:45,Träningsmatcher Herrar,IBK Bergum 3A,Burås IK Herrar,Lerjehallen,Pierre Eberhard Berg,Christian Ragnevi,https://stats.innebandy.se/sasong/43/serie/41352/match/1646439
2025-09-12,19:00,Träningsmatcher Herrar,Pixbo IBF Div.1,Jönköpings IK Utveckling,Wallenstam Arena A,Christian Ragnevi,David Karlsson,https://stats.innebandy.se/sasong/43/serie/41352/match/1653132
2025-09-12,18:00,Träningsmatcher Pojkar,Surte IS IBK P10,IBK Kungälv P10,Bohushallen,Alexander Rydqvist,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/41411/match/1653154
2025-09-12,19:00,Träningsmatcher Västergötland,Fritsla IF A-Lag Herr,Göteborg City IBK H2,"Kungabergshallen, Fritsla",Alexander Blom,Harri Tjäder,https://stats.innebandy.se/sasong/43/serie/41871/match/1654615
2025-09-12,19:00,Träningsmatcher Västergötland,Wårgårda IBK F10/11 (1) Röd1,Landvetter IBK F09/10 Svart,"Sporthallen, Vårgårda",Patrik Augustsson,,https://stats.innebandy.se/sasong/43/serie/41871/match/1655021
2025-09-13,13:23,Svenska Cupen Damer Omg 3,Karlstad IBF,Pixbo IBK,AllOffice Arena,Henrik Hultin-Öberg,Shari Tingman,https://stats.innebandy.se/sasong/43/serie/41399/match/1645946
2025-09-13,14:00,Svenska Cupen Damer Omg 3,FBC Partille,Malmö FBC,Partillebohallen,Fredrik Billemark,Viktor Bringstam,https://stats.innebandy.se/sasong/43/serie/41399/match/1645949
2025-09-13,14:30,Svenska Cupen Herrar Omg 3,FBC Lerum,Växjö IBK,Lerum Arena A,Daniel Hultberg,Edo Sabanovic,https://stats.innebandy.se/sasong/43/serie/41400/match/1645904
2025-09-13,17:00,Svenska Cupen Herrar Omg 3,Karlstad IBF,Pixbo IBK,AllOffice Arena,Fredrik Andersson,Jonas Tidsjö,https://stats.innebandy.se/sasong/43/serie/41400/match/1645959
2025-09-13,10:00,Gruppspel,Varla IBK DJAS,FBC Lerum Utveckling DJ18,Skårbyhallen,Harry Forsén,Axel Kläth,https://stats.innebandy.se/sasong/43/serie/42359/match/1647435
2025-09-13,11:00,Gruppspel,IBK Vänersborg /Wårgårda IBK,IBK Göteborg DJ18,Skårbyhallen,Harry Forsén,Axel Kläth,https://stats.innebandy.se/sasong/43/serie/42359/match/1647436
2025-09-13,12:00,Gruppspel,FBC Lerum Utveckling DJ18,IBK Vänersborg /Wårgårda IBK,Skårbyhallen,Harry Forsén,Axel Kläth,https://stats.innebandy.se/sasong/43/serie/42359/match/1647437
2025-09-13,13:00,Gruppspel,IBK Göteborg DJ18,Varla IBK DJAS,Skårbyhallen,Harry Forsén,Axel Kläth,https://stats.innebandy.se/sasong/43/serie/42359/match/1647438
2025-09-13,15:00,Gruppspel,IBK Göteborg DJ18,FBC Lerum Utveckling DJ18,Skårbyhallen,Harry Forsén,Emil Höglund,https://stats.innebandy.se/sasong/43/serie/42359/match/1647440
2025-09-13,12:00,Träningsmatcher 2025/2026,Warberg IBF Herr JAS,IBK Göteborg H1,"Sparbanken Wictory Center, Unihocplanen",Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/41348/match/1631652
2025-09-13,14:00,Träningsmatcher 2025/2026,Träslövsläge IF Herrjunior,FBC Lerum Utveckling JAS,Brearedshallen,Jonas Söderberg,Axel Sagdahl,https://stats.innebandy.se/sasong/43/serie/41348/match/1641033
2025-09-13,13:30,Träningsmatcher Damer,Mölndals IBF D2/3,Mölnlycke Frontside IBF D2,Aktiviteten A-Hall,Jesper Björklund Greter,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/41370/match/1649393
