Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-08-03,14:00,Träningsmatcher Damer,FBC Partille Dam,Lindome IBK Allsv,Partillebohallen,Andreas Lybacken,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/41370/match/1638404
2025-08-08,19:30,Träningsmatcher Herrar,Surte IS IBK H2,Orust IBK H3,Bohushallen,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41352/match/1640756
2025-08-09,13:00,Träningsmatcher Damer,IBF Backadalen Damer,Lindome IBK Allsv,Tuve Sporthall,Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/41370/match/1640503
2025-08-09,13:00,Träningsmatcher Damer/Damjunior,Malmö FBC SSL Dam,FBC Partille Dam,Kirsebergs Sporthall,Hussein Ibrahim,Erik Hindemith,https://stats.innebandy.se/sasong/43/serie/41911/match/1640746
2025-08-09,13:00,Träningsmatcher Pojkar,FBC Partille H JAS,Skattkärrs IK JAS,Partillebohallen,Senad Olevic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/41411/match/1640861
2025-08-09,18:00,Träningsmatcher Pojkar,Lindås IBK HJAS,Skattkärrs IK JAS,Lindås Waves Arena,Alexander T Forsberg,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41411/match/1640824
2025-08-09,13:00,Träningsmatcher SBIBF Herr,Mullsjö AIS SSLH,FBC Lerum HA,Nyhemshallen / SBIBF,Isak Mörnstål,Filip Karlsson,https://stats.innebandy.se/sasong/43/serie/41338/match/1640776
2025-08-10,13:00,Träningsmatcher Damer/Damjunior,Malmö FBC SSL Dam,FBC Partille Dam,Kirsebergs Sporthall,Martin Matti,Hussein Ibrahim,https://stats.innebandy.se/sasong/43/serie/41911/match/1640747
2025-08-10,18:00,Träningsmatcher Pojkar,IBF Backadalen /IK Zenith JAS,Floda IBK JAS,Tuve Sporthall,Alexander T Forsberg,Hampus Räffling,https://stats.innebandy.se/sasong/43/serie/41411/match/1640518
2025-08-13,19:00,Träningsmatcher 2025/2026,Warberg IC SSL Herr,Lindås IBK Herr,"Sparbanken Wictory Center, Unihocplanen",Jacob Johansson,Tobias Anderberg,https://stats.innebandy.se/sasong/43/serie/41348/match/1572531
2025-08-13,19:30,Träningsmatcher Damer,Lindås IBK Dam Allsv,Onsala IBK Dam 1,Lindås Waves Arena,Oscar Skogsberg,Petter Enlund,https://stats.innebandy.se/sasong/43/serie/41370/match/1640937
2025-08-14,19:30,Träningsmatcher Damer,FBC Lerum D1,Lindås IBK Dam Allsv,Rydsbergshallen,Christian Ragnevi,Robin Boqvist,https://stats.innebandy.se/sasong/43/serie/41370/match/1640907
2025-08-14,19:00,Träningsmatcher Herrar,Floda IBK H1,Särö IBK Div 1,Nova Floda Sportcenter A-hall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/41352/match/1640760
2025-08-15,13:07,Träningsmatcher 2025/2026,Warberg IC SSL Herr,FBC Lerum Herr A-Lag,"Sparbanken Wictory Center, Unihocplanen",Andreas Lybacken,Joakim Mattsson,https://stats.innebandy.se/sasong/43/serie/41348/match/1572532
2025-08-15,18:00,Träningsmatcher Pojkar,IBF Backadalen P08/10,Varla IBK B / HJAS,Tuve Sporthall,Yao-Zu Galby,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41411/match/1640806
2025-08-15,20:00,Träningsmatcher Pojkar,IBF Backadalen /IK Zenith JAS,Varla IBK B / HJAS,Tuve Sporthall,Yao-Zu Galby,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41411/match/1640517
2025-08-15,19:00,Träningsmatcher Västergötland,IBK Alingsås JAS DJ18,Floda IBK D1,"Stadsskogshallen, Alingsås",Pedram Koublani,Henrik Sjöberg,https://stats.innebandy.se/sasong/43/serie/41871/match/1640991
2025-08-16,13:00,Träningsmatcher 2025/2026,Warberg IC SSL Dam,Lindome IBK Allsv,"Sparbanken Wictory Center, Unihocplanen",Anders Lindqvist,Eino Kozan,https://stats.innebandy.se/sasong/43/serie/41348/match/1596064
2025-08-16,12:30,Träningsmatcher Pojkar,Floda IBK JAS,Frölunda IBK JAS,Nova Floda Sportcenter A-hall,Senad Olevic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/41411/match/1640802
2025-08-16,13:00,Träningsmatcher Pojkar,Lindås IBK HJAS,Warberg IBF Herr JAS,Lindås Waves Arena,Felix Bark Peterson,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41411/match/1640850
2025-08-16,16:00,Träningsmatcher Pojkar,IBK Kungälv HJAS,Träslövsläge IF Herrjunior,Munkegärdehallen,Hajrudin Begic,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/41411/match/1640715
2025-08-17,13:00,Träningsmatcher 2025/2026,Warberg IBF Herr JAS,FBC Partille Hj 18,"Sparbanken Wictory Center, Unihocplanen",Hampus Abrahamsson,Benjamin Olsen,https://stats.innebandy.se/sasong/43/serie/41348/match/1631649
2025-08-17,18:00,Träningsmatcher 2025/2026,Warberg IBF P16 USM,Lindås IBF,"Sparbanken Wictory Center, Stadaxplanen",Christoffer Söderström,Marcus Yngvesson,https://stats.innebandy.se/sasong/43/serie/41348/match/1638299
2025-08-17,16:30,Träningsmatcher Damer,FBC Lerum D1,Fristads GoIF Dam Div 2,Rydsbergshallen,Måns Bartilson,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/41370/match/1640908
2025-08-17,14:00,Träningsmatcher Damer/Damjunior,IBK Lund Elit SSL Dam,Lindås IBK Dam,Lerbäckshallen A,David Dornlöv,Hussein Ibrahim,https://stats.innebandy.se/sasong/43/serie/41911/match/1641946
2025-08-17,14:00,Träningsmatcher Flickor,Lindås IBK Dam Akademi JAS,Onsala IBK JAS,Lindås Waves Arena,Hajrudin Begic,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/41940/match/1640938
2025-08-17,16:00,Träningsmatcher Pojkar,IBK Kungälv HJAS,Stenungsunds IBK JAS,Munkegärdehallen,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41411/match/1640717
2025-08-18,19:15,Träningsmatcher Herrar,Landvetter IBK H2,IBF Backadalen H1,Pinntorps Idrottshall 1,Linus Backlund,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41352/match/1640804
2025-08-19,18:15,Träningsmatcher Damer,Landvetter IBK Dam Allsv,Floda IBK D1,Pinntorps Idrottshall 1,Thomas Andersson,Jonny Gaardén,https://stats.innebandy.se/sasong/43/serie/41370/match/1643002
2025-08-19,20:15,Träningsmatcher Herrar,FBC Vinga H2,Kärra IBK H2,Frölunda Kulturhus,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/41352/match/1640860
2025-08-20,19:00,Träningsmatcher 2025/2026,Onsala IBK Dam 1,Lindome IBK Allsv,Presse Idrottshall,Tobias Anderberg,Jacob Johansson,https://stats.innebandy.se/sasong/43/serie/41348/match/1641034
2025-08-20,19:00,Träningsmatcher Herrar,FBC Lerum Herr Allsv,Lindås IBK Herr Allsv,Lerum Arena A,Peter Novakovic,David Geiser Mellkvist,https://stats.innebandy.se/sasong/43/serie/41352/match/1638242
2025-08-20,21:15,Träningsmatcher Pojkar,Landvetter IBK JAS,Frölunda IBK JAS,Pinntorps Idrottshall 1,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/41411/match/1643143
2025-08-21,19:00,Träningsmatcher Damer,IBK Kungälv D2,Dingle AIK D3,Kastellegårdshallen,Emir Rajabi,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/41370/match/1640927
