Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2023-11-01,20:30,Klubbhuset Herrar Div. 5,FBC Lerum Utveckling H5,Surte IS IBK H5,Lerum Arena B,Tommy Runhammar,Felix Broström,https://stats.innebandy.se/sasong/43/serie/35120/match/1372903
2023-11-01,19:40,Pantamera Pojk Röd C Höst,IBK Kungälv P08 Vit,Surte IS IBK P09,Munkegärdehallen,Jasmin Dzanic,Mustafa Kalajdzisalihovic,https://stats.innebandy.se/sasong/43/serie/35129/match/1415058
2023-11-02,18:30,SSL - Svenska Superligan Dam,Pixbo IBK,Thorengruppen IBK,Wallenstam Arena A,Daniel Hultberg,Edo Sabanovic,https://stats.innebandy.se/sasong/43/serie/34685/match/1344703
2023-11-03,19:00,Klubbhuset Damer Div. 1,Lindås IBF D1,IBK Kungälv D1,Askims Sporthall,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/35123/match/1372380
2023-11-03,20:00,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,IBK Göteborg H2,Rydsbergshallen,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35117/match/1372120
2023-11-03,20:15,Klubbhuset Herrar Div. 2,Landvetter IBK H2,Dingle AIK H2,Pinntorps Idrottshall,Aldin Hadziselmovic,Peter Novakovic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372118
2023-11-03,19:15,Herrar Div 1 Västra Götaland,Mölndals IBF,IBF Backadalen,Aktiviteten A-Hall,Måns Löfgren,Peter Jaeger,https://stats.innebandy.se/sasong/43/serie/34681/match/1342991
2023-11-03,19:30,Herrar Div 1 Västra Götaland,Pixbo IBF,IBK Alingsås,Wallenstam Arena A,Robin Boqvist,Adam Kruse,https://stats.innebandy.se/sasong/43/serie/34681/match/1342989
2023-11-03,20:30,Juniorallsvenskan H1 HJ18,Kärra IBK,IK Zenith,Lillekärrshallen,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/35399/match/1362260
2023-11-03,19:15,Juniorallsvenskan H2 HJ18,IBK Göteborg/IBK Bergum,Varla IBK/Lindome IBK,Torpahallen,Tommy Runhammar,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/35400/match/1362667
2023-11-03,20:00,Juniorallsvenskan H2 HJ18,Lindås IBK,Pixbo IBF/IBK,Lindås Waves Arena,Hajrudin Begic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/35400/match/1362668
2023-11-04,16:00,Klubbhuset Damer Div. 1,Mölndals IBF D1,Floda IBK D1,Aktiviteten A-Hall,Oscar Skogsberg,Jesper Björklund Greter,https://stats.innebandy.se/sasong/43/serie/35123/match/1372383
2023-11-04,17:00,Klubbhuset Damer Div. 1,FBC Lerum D1,Pixbo IBF D1,Lerum Arena A,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/35123/match/1372384
2023-11-04,17:30,Klubbhuset Damer Div. 2,IBK Kungälv D2,FBC Vinga D2,Kastellegårdshallen,Tommy Runhammar,Måns Bartilson,https://stats.innebandy.se/sasong/43/serie/35124/match/1373120
2023-11-04,13:00,Klubbhuset Herrar Div. 2,Surte IS IBK H2,Lindome IBK H2,Bohushallen,Hajrudin Begic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/35117/match/1372117
2023-11-04,10:30,Klubbhuset Herrar Div. 6,Myggenäs IBK H6,FBC Vinga H6,Häggvallsskolan,Lazo Cesto,Henry Tames,https://stats.innebandy.se/sasong/43/serie/35121/match/1413032
2023-11-04,16:30,Damer Allsvenskan Södra,Fristads GoIF,FBC Partille,"Fristadhallen, Fristad",Tobias Anderberg,Andreas Lybacken,https://stats.innebandy.se/sasong/43/serie/34689/match/1345303
2023-11-04,13:00,Herrar Allsvenskan Södra,Fristads GoIF,FBC Partille,Nya Fristadshallen,Mathias Damgaard,Josefine Hedelind,https://stats.innebandy.se/sasong/43/serie/34676/match/1340867
2023-11-04,14:00,Herrar Allsvenskan Södra,FBC Lerum,Hovslätts IK,Lerum Arena A,David Dornlöv,Fredrik Lundborg,https://stats.innebandy.se/sasong/43/serie/34676/match/1340866
2023-11-04,13:15,Herrar Div 1 Västra Götaland,Varla IBK,IK Zenith,Kungsbacka Sporthall A,Adam Kruse,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/34681/match/1342988
2023-11-04,15:00,Herrar Div 1 Västra Götaland,GS 86 AIF,Lindås IBK,Forshaga Sporthall,Erik Bergström,Albin Jakobsson,https://stats.innebandy.se/sasong/43/serie/34681/match/1342992
2023-11-04,10:00,Klubbhuset P-14 Piff Höst,IBK Kungälv P14 Vit,Pixbo IBK P14 Vit,Munkegärdehallen,Noah Persson-Hedström,Alvin Andersson,https://stats.innebandy.se/sasong/43/serie/35157/match/1415838
2023-11-04,12:30,Pantamera Pojk Mörkröd A Höst,FBC Partille U16,Dingle AIK HJ Blå,Partillebohallen,Felix Broström,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/35141/match/1414874
2023-11-04,19:00,Pantamera Pojk Mörkröd A Höst,Lindås Rasta IBK HJ,Warberg IBF Junior,Lindås Waves Arena,Sebastian Kiejs,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/35141/match/1414875
2023-11-04,13:00,Pantamera Pojk Mörkröd B Höst,Floda IBK HJ Svart,Varla IBK HJ,Nova Floda Sportcenter A-hall,Måns Bartilson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35142/match/1416834
