Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-20,19:15,Division 1 Herrar Västra Götaland,IBK Göteborg,FBC Partille,Lundenhallen,Adam Kruse,Martin Johansson,https://stats.innebandy.se/sasong/43/serie/40701/match/1570570
2025-11-20,20:45,Pantamera Herrjunior A,IBK Göteborg U16,Floda IBK HJ07-09 Svart,Torpahallen,Emir Rajabi,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/42363/match/1648337
2025-11-21,18:30,Damer Div. 2,Lindås IBF D2,Ale IBF D2,Lindås Waves Arena,Oscar Skogsberg,Alexander T Forsberg,https://stats.innebandy.se/sasong/43/serie/42062/match/1629511
2025-11-21,20:00,Damer Div. 2,FBC Lerum Utveckling D2,Guldhedens IK D2,Rydsbergshallen,Sebastian Cedgard,Tage Sandquist,https://stats.innebandy.se/sasong/43/serie/42062/match/1629581
2025-11-21,19:00,Herrar Div. 2,Almås IBF H2,Kärra IBK H2,Almåshallen A,Alexander Pavlovic,Jonny Gaardén,https://stats.innebandy.se/sasong/43/serie/42061/match/1629848
2025-11-21,19:30,Herrar Div. 3 A,Dingle AIK H3,Utbynäs SK H3,Munkedals Idrottshall,Alexander Hellström,Albin Wennersten,https://stats.innebandy.se/sasong/43/serie/42064/match/1630689
2025-11-21,19:30,Herrar Div. 3 A,Orust IBK H3,Stenungsunds IBK H3,Svanesunds Sporthall,Christian Ragnevi,Kristoffer Lind,https://stats.innebandy.se/sasong/43/serie/42064/match/1630690
2025-11-21,20:00,Herrar Div. 3 B,Mölndals IBF H3,FBC Partille H3,Aktiviteten A-Hall,Håkan Krafft,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/42065/match/1630560
2025-11-21,19:00,Herrar Div. 4 A,Kärra IBK H4,Orust IBK H4,Kärra Sporthall,Martin Andersson,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/42079/match/1647921
2025-11-21,19:30,Herrar Div. 4 A,Surte IS IBK H4,Överby IBK H4,Bohushallen,Emin Kosovac,Gökhan Atay,https://stats.innebandy.se/sasong/43/serie/42079/match/1647924
2025-11-21,20:00,Juniorallsvenskan F DJ18,Landvetter IBK,IBK Lockerud Mariestad,Pinntorps Idrottshall,Emir Rajabi,Felix Bark Peterson,https://stats.innebandy.se/sasong/43/serie/41554/match/1594298
2025-11-21,19:45,Juniorallsvenskan G DJ18,IBK Kungälv,Lindome IBK,Munkegärdehallen,Mustafa Kalajdzisalihovic,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/41555/match/1606481
2025-11-21,20:30,Juniorallsvenskan G DJ18,IBK Göteborg,Onsala IBK,Torpahallen,Jonathan Johansson,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/41555/match/1606483
2025-11-21,18:20,Juniorallsvenskan G HJ18,IBK Göteborg,Floda IBK,Torpahallen,Jonathan Johansson,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/41545/match/1591726
2025-11-21,19:45,Juniorallsvenskan G HJ18,IBK Kungälv,Stenungsunds IBK,Kastellegårdshallen,Goran Kuduzovic,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/41545/match/1591727
2025-11-21,20:00,Juniorallsvenskan G HJ18,IBF Backadalen/IK Zenith,IBK Lockerud Mariestad,Björlanda Idrottshall,Robin Boqvist,David Karlsson,https://stats.innebandy.se/sasong/43/serie/41545/match/1591724
2025-11-21,19:00,Juniorallsvenskan H HJ18,Pixbo IBF/Pixbo IBK,Landvetter IBK,Wallenstam Arena A,Hajrudin Begic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/41546/match/1591904
2025-11-21,19:15,Juniorallsvenskan H HJ18,Frölunda IBK,Lindås IBK/Lindås IBF,Frölunda Kulturhus,Thomas Johansson,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/41546/match/1591905
2025-11-21,19:45,Pantamera Damjunior B,Landvetter IBF JAS DJ-Utveckling Vit,IBK Alingsås Damjunior,Önnerödshallen,Alexander Rydqvist,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/42368/match/1648908
2025-11-21,18:30,Pantamera Flickor B-ungdom A,FBC Partille F09/11 Grön,IK Zenith Grön,Qvisthallen,Senad Olevic,Henry Tames,https://stats.innebandy.se/sasong/43/serie/42386/match/1648931
2025-11-21,18:30,Pantamera Pojkar B-ungdom C,Ale IBF P09 Blå,Lindome IBK U16 Lila,Ale Kulturrum,Joacim Olsson,Yosuf Amiri,https://stats.innebandy.se/sasong/43/serie/42371/match/1648526
