Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-02-01,20:00,Klubbhuset Herrar Div. 4,Öckerö IBK H4,FBC Partille H4,Hedenskolans Idrottshall,Goran Kuduzovic,Wessam Abdellrazek,https://stats.innebandy.se/sasong/43/serie/35119/match/1372703
2024-02-01,20:30,Juniorallsvenskan H1 HJ18,IK Zenith,FBC Partille,Björlanda Idrottshall,Christian Jensen,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35399/match/1362285
2024-02-02,20:15,Klubbhuset Damer Div. 1,Landvetter IBK D1,Floda IBK D1,Pinntorps Idrottshall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35123/match/1372443
2024-02-02,19:30,Klubbhuset Damer Div. 2,Öckerö IBK D2,IBK Göteborg/IBK Bergum D2,Hedenskolans Idrottshall,Linus Backlund,Felix Broström,https://stats.innebandy.se/sasong/43/serie/35124/match/1373179
2024-02-02,20:00,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,IBF Älvstranden H2,Rydsbergshallen,Jesper Björklund Greter,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/35117/match/1372177
2024-02-02,19:30,Klubbhuset Herrar Div. 3,Eken IBK H3,Floda IBK H3,Ekenhallen 1,Jesper Wångblad,Almir Mehmedagic,https://stats.innebandy.se/sasong/43/serie/35118/match/1372834
2024-02-02,19:30,Klubbhuset Herrar Div. 5,Orust IBK H5,IBK Kungälv H5,Svanesunds Sporthall,Mustafa Er,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/35120/match/1372964
2024-02-02,20:30,Juniorallsvenskan G DJ18,Lindås IBF,FBC Lerum,Lindås Waves Arena,Oscar Skogsberg,Marcus Larsson,https://stats.innebandy.se/sasong/43/serie/35872/match/1392460
2024-02-02,19:15,Juniorallsvenskan H2 HJ18,IBK Göteborg/IBK Bergum,Lindås IBK,Torpahallen,Adnan Mehmedagic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35400/match/1362692
2024-02-02,19:15,Klubbhuset P-13 Mimmi Vår,Lindås IBK P13 Turkos,Utbynäs SK P 12/13 Blå,Askims Sporthall,Vince Perzon,Tage Nyström,https://stats.innebandy.se/sasong/43/serie/36867/match/1439738
2024-02-02,18:15,Klubbhuset P-13 Pluto Vår,Lindås IBK P13 Vit,FBC Partille P 14 Vallhamra Blå,Askims Sporthall,Vince Perzon,Tage Nyström,https://stats.innebandy.se/sasong/43/serie/36868/match/1437087
2024-02-02,19:45,Pantamera Flick Mörkröd B Vår,Kärra IBK F07/08,Varla IBK DJ Röd,Kärra Sporthall,Yao-Zu Galby,Emir Rajabi,https://stats.innebandy.se/sasong/43/serie/36836/match/1439031
2024-02-02,18:45,Pantamera Pojk Mörkröd D Vår,Pixbo IBF P08 Röd,IBK Bergum Rosa (06-08),Wallenstam Arena A,Mustafa Kalajdzisalihovic,Alexander Warberg,https://stats.innebandy.se/sasong/43/serie/36857/match/1439826
2024-02-02,18:30,Pantamera Pojkar Röd A Vår,Lindås IBK P09 Svart,Landvetter IBK P09 Vit,Lindås Waves Arena,Oscar Skogsberg,Marcus Larsson,https://stats.innebandy.se/sasong/43/serie/36843/match/1438461
2024-02-02,19:00,Pantamera Pojkar Röd B Vår,IBF Backadalen / Mölndals IBF P07/08,FBC Vinga P07,Tuve Sporthall,Idris Hasan Mohamed,Jasmin Dzanic,https://stats.innebandy.se/sasong/43/serie/36844/match/1438493
2024-02-02,19:20,Pantamera Pojkar Röd E Vår,Floda IBK P09 Vit,IBF Älvstranden P08/P09 Svart,Nova Floda Sportcenter A-hall,Tage Sandquist,Joel Mellby,https://stats.innebandy.se/sasong/43/serie/36847/match/1438581
2024-02-02,18:00,Pantamera Pojkar Röd O Vår FD,Landvetter IBK P11 Blå,Lindome IBK P11,Önnerödshallen,Tommy Runhammar,Birk Eldh,https://stats.innebandy.se/sasong/43/serie/36879/match/1438972
2024-02-02,19:00,USM P16 Region Grupp G,Stenungsunds IBK,Frölunda IBK,Qvisthallen,Christian Svärdström,Marcus Orrhult,https://stats.innebandy.se/sasong/43/serie/36669/match/1435517
2024-02-02,16:45,Veteran-SM D35+ Grupp A,FBC Lerum Vet,Hässelby SK IBK Dam Vet,IFU Arena A,Fredrik Landin,Handrin Thunqvist,https://stats.innebandy.se/sasong/43/serie/36897/match/1440037
2024-02-02,19:45,Veteran-SM D35+ Grupp A,Vallentuna IBK Damveteran,FBC Lerum Vet,IFU Arena A,Jonas Nordqvist,Henrik Hultin-Öberg,https://stats.innebandy.se/sasong/43/serie/36897/match/1440039
2024-02-02,16:30,Veteran-SM D35+ Grupp B,Landvetter IBK Damveteraner,Västerhaninge IBK,IFU Arena Tell Media Group (B),Peter Sigurbjörnsson,Emil Gustafsson,https://stats.innebandy.se/sasong/43/serie/36898/match/1440043
2024-02-02,20:30,Veteran-SM D35+ Grupp B,Järfälla Bele IBK Dam Veteran,Landvetter IBK Damveteraner,IFU Arena Tell Media Group (B),Haris Hodzic,Ronnie Eriksson,https://stats.innebandy.se/sasong/43/serie/36898/match/1440045
2024-02-02,17:45,Veteran-SM D35+ Grupp C,IBF Backadalen Dam Vet,Råsunda IS,IFU Arena A,Fredrik Landin,Handrin Thunqvist,https://stats.innebandy.se/sasong/43/serie/36899/match/1440049
2024-02-02,20:45,Veteran-SM D35+ Grupp C,FBC Sollentuna Nord Vet,IBF Backadalen Dam Vet,IFU Arena A,Jonas Nordqvist,Henrik Hultin-Öberg,https://stats.innebandy.se/sasong/43/serie/36899/match/1440051
2024-02-03,13:30,Klubbhuset Damer Div. 1,Lindås IBF D1,Burås IK D1,Lindås Waves Arena,Adam Jällfält,Robin Cederdahl,https://stats.innebandy.se/sasong/43/serie/35123/match/1372440
2024-02-03,15:00,Klubbhuset Damer Div. 1,Mölndals IBF D1,Pixbo IBF D1,Aktiviteten A-Hall,Goran Kuduzovic,Håkan Krafft,https://stats.innebandy.se/sasong/43/serie/35123/match/1372442
2024-02-03,15:00,Klubbhuset Damer Div. 1,Stenungsunds IBK D1,IK Zenith D1,Stenungsund Arena,Felix Bark Peterson,Joakim Jögi,https://stats.innebandy.se/sasong/43/serie/35123/match/1372444
2024-02-03,14:30,Klubbhuset Damer Div. 2,Ale IBF D2,Dingle AIK D2,Ale Kulturrum,Per Sundvall,Lazo Cesto,https://stats.innebandy.se/sasong/43/serie/35124/match/1373183
2024-02-03,15:00,Klubbhuset Damer Div. 3,Eken IBK D3,Hindås IBK D3,Ekenhallen 1,Emir Rajabi,Isak Skarrie,https://stats.innebandy.se/sasong/43/serie/35125/match/1412994
2024-02-03,13:00,Klubbhuset Herrar Div. 2,Surte IS IBK H2,Dingle AIK H2,Bohushallen,Pierre Eberhard Berg,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372180
2024-02-03,13:00,Klubbhuset Herrar Div. 2,Herrestads AIF Rockets H2,Lindome IBK H2,Rampen Sporthall (Källdalsskolan),Oscar Skogsberg,Jesper Björklund Greter,https://stats.innebandy.se/sasong/43/serie/35117/match/1372181
2024-02-03,15:30,Klubbhuset Herrar Div. 2,Kärra IBK H2,Burås IK H2,Kärra Sporthall,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372176
2024-02-03,16:30,Klubbhuset Herrar Div. 2,Landvetter IBK H2,FBC Vinga H2,Pinntorps Idrottshall,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/35117/match/1372179
2024-02-03,18:00,Klubbhuset Herrar Div. 3,Lindås IBF H3,IBK Kungälv H3,Lindås Waves Arena,Adam Jällfält,Robin Cederdahl,https://stats.innebandy.se/sasong/43/serie/35118/match/1372833
2024-02-03,12:00,Klubbhuset Herrar Div. 4,Ale IBF H4,IBK Göteborg H4,Ale Kulturrum,Per Sundvall,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/35119/match/1372701
2024-02-03,15:15,Klubbhuset Herrar Div. 4,KFKD H4,IBK Bergum H4,Lundbystrand 3,Wessam Abdellrazek,Magnus Fredriksson,https://stats.innebandy.se/sasong/43/serie/35119/match/1372699
2024-02-03,15:30,Klubbhuset Herrar Div. 5,Frölunda IBK H5,Surte IS IBK H5,Frölunda Kulturhus,Mustafa Kalajdzisalihovic,Felix Broström,https://stats.innebandy.se/sasong/43/serie/35120/match/1372967
2024-02-03,13:00,Klubbhuset Herrar Div. 6,Eken IBK H6,Myggenäs IBK H6,Ekenhallen 1,Emir Rajabi,Isak Skarrie,https://stats.innebandy.se/sasong/43/serie/35121/match/1413087
2024-02-03,13:45,Klubbhuset Herrar Div. 6,FBC Vinga H6,Dingle AIK H6,Hall Of Flame,Adem Can,Alexander Warberg,https://stats.innebandy.se/sasong/43/serie/35121/match/1413089
2024-02-03,17:00,Klubbhuset Herrar Div. 6,Mölndals IBF H6,Överby IBK H6,Aktiviteten A-Hall,Adem Can,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/35121/match/1413086
2024-02-03,09:00,Klubbhuset F-12 Bamse Vår,Pixbo IBK F12 Röd,Eken IBK F11/12/13 Lila,Wallenstam Arena B,Alva Junkell,,https://stats.innebandy.se/sasong/43/serie/36872/match/1440353
2024-02-03,10:00,Klubbhuset F-12 Bamse Vår,Pixbo IBK F12 Vit,Landvetter IBK F12 Blå,Wallenstam Arena B,Alva Junkell,,https://stats.innebandy.se/sasong/43/serie/36872/match/1440351
2024-02-03,16:55,Klubbhuset F-12 Bamse Vår,FBC Lerum F12 Rött,IK Zenith F11-12 Grön,Rydsbergshallen,,,https://stats.innebandy.se/sasong/43/serie/36872/match/1440352
2024-02-03,12:00,Klubbhuset F-13 Nalle-Maja Vår,IBF Backadalen F13 Svart,Ale IBF F12/13 Blå,Tuve Sporthall,Tove Hall,Malte Rydin,https://stats.innebandy.se/sasong/43/serie/36873/match/1440641
2024-02-03,13:00,Klubbhuset F-13 Nalle-Maja Vår,IBF Backadalen F11/12 Svart,Pixbo IBK F13/14 Rödrävar,Tuve Sporthall,Tove Hall,Malte Rydin,https://stats.innebandy.se/sasong/43/serie/36873/match/1440636
2024-02-03,12:00,Klubbhuset F-14 Brum Vår,FBC Partille F 12/14,Hindås IBK F13,Qvisthallen,Matilda Lindqvist,Emilia Fröberg,https://stats.innebandy.se/sasong/43/serie/36875/match/1437849
2024-02-03,16:30,Klubbhuset F-14 Brum Vår,Pixbo IBK F13/14 Viträvar,Lindome IBK F14/15 Lila,Wallenstam Arena B,Gry Axelsson,Gry Axelsson,https://stats.innebandy.se/sasong/43/serie/36875/match/1437847
2024-02-03,13:30,Klubbhuset F-14 Teddy Vår,Öckerö IBK F14/15,FBC Lerum F14 Vit,Hedenskolans Idrottshall,Philip Tindvall,Melvin Stenberg,https://stats.innebandy.se/sasong/43/serie/36876/match/1437894
2024-02-03,09:00,Klubbhuset P-12 Fnatte Vår,FBC Partille P12/13,Floda IBK P12/13 Vit,Qvisthallen,Matilda Lindqvist,Elvis Moholi,https://stats.innebandy.se/sasong/43/serie/36865/match/1436762
2024-02-03,18:30,Klubbhuset P-12 Fnatte Vår,Lindås IBK P12 Svart,IK Zenith P12 Grön,Askims Sporthall,Felix Wallberg,Jakob Bengtsson,https://stats.innebandy.se/sasong/43/serie/36865/match/1436760
2024-02-03,10:00,Klubbhuset P-12 Knatte Vår,Eken IBK P12,Ale IBF P12,Ekenhallen 1,Konrad Jorpes,Ludwig Ahlström,https://stats.innebandy.se/sasong/43/serie/36863/match/1436795
2024-02-03,17:30,Klubbhuset P-12 Knatte Vår,Lindås IBK P12 Turkos,Landvetter IBK P12 Vit,Askims Sporthall,Felix Wallberg,Jakob Bengtsson,https://stats.innebandy.se/sasong/43/serie/36863/match/1436797
2024-02-03,14:30,Klubbhuset P-12 Tjatte Vår,Öckerö IBK P12,Pixbo IBK P12/13,Hedenskolans Idrottshall,Philip Tindvall,Melvin Stenberg,https://stats.innebandy.se/sasong/43/serie/36864/match/1436837
2024-02-03,13:00,Klubbhuset P-13 Kalle Vår,FBC Partille P 13 Blå,Dingle AIK P12,Qvisthallen,Matilda Lindqvist,Emilia Fröberg,https://stats.innebandy.se/sasong/43/serie/36866/match/1436941
2024-02-03,13:30,Klubbhuset P-13 Kalle Vår,Pixbo IBK P13,IBK Bergum P13 Rosa,Wallenstam Arena B,Casper Nyström,Gry Axelsson,https://stats.innebandy.se/sasong/43/serie/36866/match/1436940
2024-02-03,12:00,Klubbhuset P-13 Pluto Vår,Stenungsunds IBK P13,Mölndals IBF P13 Vit,Stenungsund Arena,Melker Tillander,Eliott Eriksson,https://stats.innebandy.se/sasong/43/serie/36868/match/1437090
2024-02-03,12:30,Klubbhuset P-13 Pluto Vår,Hindås IBK P13 Svart,Lindome IBK P13 Vit,Hindås Idrottshall,Halina Karnili,,https://stats.innebandy.se/sasong/43/serie/36868/match/1437086
2024-02-03,15:30,Klubbhuset P-13 Pluto Vår,Öckerö IBK P13,IK Zenith P13 Grön,Hedenskolans Idrottshall,Philip Tindvall,Melvin Stenberg,https://stats.innebandy.se/sasong/43/serie/36868/match/1437089
2024-02-03,13:30,Klubbhuset P-14 Kajsa Vår,Kärra IBK P13 Svart,IBK Kungälv P14 Blå,Kärra Sporthall,Sam Lindberg Randåker,Casper Ragnestål,https://stats.innebandy.se/sasong/43/serie/36869/match/1437161
2024-02-03,10:00,Klubbhuset P-14 Piff Vår,FBC Partille P 14 Blå,Mölndals IBF P14,Qvisthallen,Matilda Lindqvist,Elvis Moholi,https://stats.innebandy.se/sasong/43/serie/36870/match/1437350
2024-02-03,11:00,Klubbhuset P-14 Piff Vår,FBC Partille P 14 Vit,Hindås IBK P14,Qvisthallen,Matilda Lindqvist,Elvis Moholi,https://stats.innebandy.se/sasong/43/serie/36870/match/1437352
2024-02-03,14:30,Klubbhuset P-14 Piff Vår,Pixbo IBK P14 Vit,IBK Kungälv P14 Svart,Wallenstam Arena B,Casper Nyström,Gry Axelsson,https://stats.innebandy.se/sasong/43/serie/36870/match/1437348
2024-02-03,15:30,Klubbhuset P-14 Piff Vår,Pixbo IBK P14 Svart,Landvetter IBK P14 Vit,Wallenstam Arena B,Gry Axelsson,Gry Axelsson,https://stats.innebandy.se/sasong/43/serie/36870/match/1437351
2024-02-03,15:45,Klubbhuset P-14 Puff Vår,Herrestads AIF P13 14 15,FBC Lerum Utveckling P14 Vit,Rampen Sporthall (Källdalsskolan),,,https://stats.innebandy.se/sasong/43/serie/36871/match/1440818
2024-02-03,13:00,Pantamera Flick Röd A Vår,Floda IBK / FBC Partille F08/09,Kärra IBK F09/10,Nova Floda Sportcenter A-hall,Samuel Lindholm,Johannes Lunde,https://stats.innebandy.se/sasong/43/serie/36838/match/1439284
2024-02-03,14:30,Pantamera Flick Röd A Vår,Dingle AIK F09/11 Blå,Eken IBK F09/10,Munkedals Bollhall,Amel Kosovac,Meron Garza,https://stats.innebandy.se/sasong/43/serie/36838/match/1439283
2024-02-03,13:15,Pantamera Flick Röd B Vår,Pixbo IBF F10 Röd,IBF Älvstranden F09/10/11 Svart,Wallenstam Arena A,Emrik Appelgren,Isak Bokesten,https://stats.innebandy.se/sasong/43/serie/36840/match/1438311
2024-02-03,18:00,Pantamera Flick Röd C Vår FD,Öckerö IBK F09-11,Pixbo IBF F10 Vit,Hedenskolans Idrottshall,Melvin Stenberg,Edvin Hagström,https://stats.innebandy.se/sasong/43/serie/36841/match/1438341
2024-02-03,16:30,Pantamera Flick Röd D Vår FD,Lindome IBK F10/11,Pixbo IBF F11,Almåshallen A,Emanuel Sangrud,Alexander T Forsberg,https://stats.innebandy.se/sasong/43/serie/36858/match/1438381
2024-02-03,16:40,Pantamera Flick Röd D Vår FD,Ale IBF F10/11,Hindås IBK F10/11,Ale Kulturrum,Per Sundvall,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/36858/match/1438379
2024-02-03,12:15,Pantamera Flick Röd E Vår FD,IBK Göteborg /Guldhedens IK F09-11,Öckerö IBK F10-13,Härlandatjärns Skolans Sporthall,Sebastian Cedgard,,https://stats.innebandy.se/sasong/43/serie/36859/match/1438425
2024-02-03,14:30,Pantamera Flick Röd E Vår FD,IBF Backadalen F11/12 Röd,Frölunda IBK Flickor Röd,Tuve Sporthall,Emmy Birgersson,Moa Ljungqvist,https://stats.innebandy.se/sasong/43/serie/36859/match/1438423
2024-02-03,15:30,Pantamera Flick Röd E Vår FD,Stenungsunds IBK F10-11 Svart,Surte IS IBK F11 Röd,Kyrkenorumskolans Idrottshall,Casper Larsson,Rasmus Lindmark,https://stats.innebandy.se/sasong/43/serie/36859/match/1438424
2024-02-03,16:30,Pantamera Pojk Mörkröd A Vår,Varla IBK HJ,Warberg IBF Junior,Skårbyhallen,Elin Idéhn,Noah Fogelqvist,https://stats.innebandy.se/sasong/43/serie/36854/match/1439092
2024-02-03,16:00,Pantamera Pojk Mörkröd C Vår,Lindås Rasta IBK P08 Vit,Landvetter IBK P07 Vit,Lindås Waves Arena,Adam Jällfält,Robin Cederdahl,https://stats.innebandy.se/sasong/43/serie/36856/match/1439152
2024-02-03,09:10,Pantamera Pojkar Röd A Vår,Pixbo IBF P09 Röd,Eken IBK P07/08 Lila,Wallenstam Arena A,Mohsen Gholami,Ali Alizada,https://stats.innebandy.se/sasong/43/serie/36843/match/1438463
