Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2023-12-01,18:00,SSL - Svenska Superligan Herr,Mullsjö AIS,Pixbo IBK,Nyhemshallen - Mullsjö,Glenn Boström,Håkan Söderman,https://stats.innebandy.se/sasong/43/serie/34677/match/1344543
2023-12-01,19:30,Klubbhuset Damer Div. 2,Öckerö IBK D2,Ale IBF D2,Hedenskolans Idrottshall,Tommy Runhammar,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/35124/match/1373144
2023-12-01,20:15,Klubbhuset Damer Div. 2,FBC Lerum D2,Guldhedens IK D2,Lerum Arena C,Torbjörn Zahner,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/35124/match/1373147
2023-12-01,20:00,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,Herrestads AIF Rockets H2,Rydsbergshallen,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372142
2023-12-01,19:30,Herrar Div 1 Västra Götaland,Pixbo IBF,Träslövsläge IF,Wallenstam Arena A,Albert Enlund,Adam Kruse,https://stats.innebandy.se/sasong/43/serie/34681/match/1343006
2023-12-01,19:30,Juniorallsvenskan H1 HJ18,Floda IBK,Fristads GoIF/Rydboholms SK,Nova Floda Sportcenter A-hall,Hajrudin Begic,Adnan Tongur,https://stats.innebandy.se/sasong/43/serie/35399/match/1362271
2023-12-01,20:00,Juniorallsvenskan H1 HJ18,IBK Kungälv,Lindås IBK,Kastellegårdshallen,Oscar Skogsberg,Marcus Larsson,https://stats.innebandy.se/sasong/43/serie/35399/match/1362268
2023-12-01,20:00,Juniorallsvenskan H1 HJ18,Kärra IBK,Varla IBK/Lindome IBK,Kärra Sporthall,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/35399/match/1362269
2023-12-01,18:30,Pantamera Flick Mörkröd B Höst,Varla IBK DJ Röd,Kärra IBK F07/08,Lindälvshallen,Christer Arntzen,Alice Haeggman,https://stats.innebandy.se/sasong/43/serie/36091/match/1414564
2023-12-01,20:15,Pantamera Pojk Mörkröd B Höst,Varla IBK HJ,IK Zenith HJ,Lindälvshallen,Christer Arntzen,Alice Haeggman,https://stats.innebandy.se/sasong/43/serie/35142/match/1416846
2023-12-01,19:00,Pantamera Pojk Mörkröd D Höst,Herrestads AIF Rockets HJ,Utbynäs SK U-Trupp,Rampen Sporthall (Källdalsskolan),Martin Andersson,Mathias Johansson,https://stats.innebandy.se/sasong/43/serie/35144/match/1414951
2023-12-01,20:00,Pantamera Pojk Röd A Höst,Mölndals IBF P07,Lindome IBK P08/09,Aktiviteten A-Hall,Felix Broström,Yao-Zu Galby,https://stats.innebandy.se/sasong/43/serie/35127/match/1414997
2023-12-01,18:30,Pantamera Pojk Röd E Höst,Lindås IBK P09 Blå,Frölunda IBK P08/09 Grön,Lindås Waves Arena,Sebastian Ågren,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/35131/match/1415133
