Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2025-11-28,19:15,Juniorallsvenskan H HJ18,Warberg IBF,Frölunda IBK,"Sparbanken Wictory Center, Unihocplanen",Albin Persson,Hampus Abrahamsson,https://stats.innebandy.se/sasong/43/serie/41546/match/1591910
2025-11-28,20:15,Juniorallsvenskan H HJ18,Landvetter IBK,Borås IBF,Pinntorps Idrottshall,Alexander T Forsberg,Adnan Mehmedagic,https://stats.innebandy.se/sasong/43/serie/41546/match/1591913
2025-11-28,19:00,Klubbhuset Blå Flickor 14 B Höst,Hindås IBK F14/15,Lindås IBK F14-15 Turkos,Hindås Idrottshall,Vilmer Olausson,Filip Ekstam,https://stats.innebandy.se/sasong/43/serie/42411/match/1651017
2025-11-28,18:00,Klubbhuset Blå Pojkar 16 C Höst,Hindås IBK P16,IBK Kungälv P16 Blå,Hindås Idrottshall,Vilmer Olausson,Filip Ekstam,https://stats.innebandy.se/sasong/43/serie/42405/match/1651112
2025-11-28,18:30,Pantamera Ungdom-B Flickor D Höst,Lindås IBK F12,FBC Lerum Utveckling F12 Svart,Askims Sporthall,Felix Broström,Henry Tames,https://stats.innebandy.se/sasong/43/serie/42389/match/1649036
2025-11-28,18:00,Pantamera Ungdom-B Pojkar A Höst,IBF Backadalen P09/10,Landvetter IBK P10 Vit,Tuve Sporthall,Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/42369/match/1648465
2025-11-28,18:30,Pantamera Ungdom-B Pojkar B Höst,Herrestads AIF HJ,IBK Göteborg P10 Vit,Rampen Sporthall (Källdalsskolan),Martin Andersson,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/42370/match/1648495
2025-11-28,18:15,Pantamera Ungdom-B Pojkar E Höst,FBC Vinga P10 Svart,FBC Partille P11 Vit,Hall Of Flame,Gustav Persson,Samuel Tolland,https://stats.innebandy.se/sasong/43/serie/42373/match/1650717
2025-11-28,17:10,Pantamera Ungdom-C Flickor C Höst,Pixbo IBF F13/14 Röd,IBF Backadalen F11/12 Svart,Wallenstam Arena A,Ivan Ivanovic,,https://stats.innebandy.se/sasong/43/serie/42392/match/1649834
2025-11-28,18:00,Pantamera Ungdom-C Pojkar F Höst,Lindås IBK P12 Turkos,Lindome IBK P13 Grön,Lindås Waves Arena,Vince Perzon,Jakob Bengtsson,https://stats.innebandy.se/sasong/43/serie/42380/match/1649652
2025-11-29,16:00,SSL - Svenska Superligan Herrar,Pixbo IBK,Nykvarns IBF,Wallenstam Arena A,Andreas Bengtsson Degen,Johannes Ekenberg,https://stats.innebandy.se/sasong/43/serie/40693/match/1571839
2025-11-29,16:00,3v3 Aktiviteten,Eken IBK HJ,IBK Göteborg Motion 3v3,Aktiviteten A-Hall,Semir Aganspahic,,https://stats.innebandy.se/sasong/43/serie/42865/match/1669129
2025-11-29,16:30,3v3 Aktiviteten,Eken IBK HJ,Mölndal 3v3,Aktiviteten A-Hall,Semir Aganspahic,,https://stats.innebandy.se/sasong/43/serie/42865/match/1669131
2025-11-29,17:00,3v3 Aktiviteten,IBK Göteborg Motion 3v3,Mölndal 3v3,Aktiviteten A-Hall,Semir Aganspahic,,https://stats.innebandy.se/sasong/43/serie/42865/match/1669133
2025-11-29,17:30,3v3 Aktiviteten,IBK Göteborg Motion 3v3,Eken IBK HJ,Aktiviteten A-Hall,Semir Aganspahic,,https://stats.innebandy.se/sasong/43/serie/42865/match/1669135
2025-11-29,15:00,Allsvenskan Damer Södra,Lindome IBK,Lillån IBK,Almåshallen A,Tobias Anderberg,Adam Kruse,https://stats.innebandy.se/sasong/43/serie/40697/match/1570709
2025-11-29,16:00,Allsvenskan Damer Södra,Landvetter IBK,Fröjereds IBF,Pinntorps Idrottshall,Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/40697/match/1570712
2025-11-29,14:00,Allsvenskan Herrar,Lindås IBK,IBK Lund Elit,Lindås Waves Arena,Jörgen Andersson,Kevin Cardell,https://stats.innebandy.se/sasong/43/serie/40694/match/1570975
2025-11-29,14:30,Allsvenskan Herrar,FBC Lerum,Hagunda IF,Lerum Arena A,Josefine Hedelind,Amir Zilic,https://stats.innebandy.se/sasong/43/serie/40694/match/1570976
2025-11-29,14:00,Dam Veteraner,IK Zenith DV,FBC Lerum DV,Björlanda Idrottshall,Felix Broström,Semir Aganspahic,https://stats.innebandy.se/sasong/43/serie/42081/match/1653294
2025-11-29,15:15,Damer Div. 1 region,Malmhaug IBF,FBC Lerum,Kulladals Sporthall,Mikael Björkqvist,Ante Johansson Stenholm,https://stats.innebandy.se/sasong/43/serie/41175/match/1573118
2025-11-29,16:00,Damer Div. 1 region,Kustens IF,Pixbo IBF,Haverdalshallen,Björn Ekberg,Ronny Jensen,https://stats.innebandy.se/sasong/43/serie/41175/match/1573120
2025-11-29,14:30,Damer Div. 2,IBK Göteborg D2,FBC Vinga D2,Torpahallen,Emir Rajabi,Kian Keinia,https://stats.innebandy.se/sasong/43/serie/42062/match/1629521
2025-11-29,15:00,Division 1 Herrar Västra Götaland,Floda IBK,IBF Backadalen,Nova Floda Sportcenter A-hall,Jesper Björklund Greter,Sebastian Kiejs,https://stats.innebandy.se/sasong/43/serie/40701/match/1570577
