Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2023-10-01,16:00,SSL - Svenska Superligan Herr,Karlstad IBF,Pixbo IBK,AllOffice Arena,Simon Broman,Martin Matti,https://stats.innebandy.se/sasong/43/serie/34677/match/1344490
2023-10-01,13:00,SSL - Svenska Superligan Dam,IBK Lund Elit,Pixbo IBK,Lerbäckshallen A,Jörgen Andersson,Kevin Cardell,https://stats.innebandy.se/sasong/43/serie/34685/match/1344675
2023-10-01,11:45,Klubbhuset Damer Div. 1,Lindås IBF D1,Mölndals IBF D1,Lindås Waves Arena,Mats Sällberg,Christer Carlberg,https://stats.innebandy.se/sasong/43/serie/35123/match/1372350
2023-10-01,12:00,Klubbhuset Damer Div. 1,Burås IK D1,Stenungsunds IBK D1,Lundenhallen,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35123/match/1372352
2023-10-01,14:00,Klubbhuset Damer Div. 1,Almås IBF D1,Pixbo IBF D1,Almåshallen A,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35123/match/1372354
2023-10-01,15:00,Klubbhuset Damer Div. 1,FBC Lerum D1,Landvetter IBK D1,Rydsbergshallen,Christian Jensen,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/35123/match/1372351
2023-10-01,23:38,Klubbhuset Damer Div. 2,IBK Älvstranden Dam,FBC Vinga D2,Lundbystrand 1,Mustafa Kalajdzisalihovic,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/35124/match/1373094
2023-10-01,13:00,Klubbhuset Damer Div. 2,IBK Kungälv D2,Pixbo IBF D2,Kastellegårdshallen,Jesper Björklund Greter,Per Sundvall,https://stats.innebandy.se/sasong/43/serie/35124/match/1373098
2023-10-01,20:00,Klubbhuset Damer Div. 2,Landvetter IBK D2,IBK Göteborg/IBK Bergum D2,Pinntorps Idrottshall,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/35124/match/1373097
2023-10-01,14:30,Klubbhuset Herrar Div. 2,Burås IK H2,Surte IS IBK H2,Lundenhallen,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35117/match/1372088
2023-10-01,17:00,Klubbhuset Herrar Div. 3,IK Zenith H3,Floda IBK H3,Björlanda Idrottshall,Wessam Abdellrazek,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/35118/match/1372746
2023-10-01,18:00,Klubbhuset Herrar Div. 3,Korsvägen BBK H3,IBK Kungälv H3,Önnerödshallen,Adam Jällfält,Thomas Johansson,https://stats.innebandy.se/sasong/43/serie/35118/match/1372747
2023-10-01,14:00,Klubbhuset Herrar Div. 4,Guldhedens IK H4,Herrestads AIF Rockets H4,Valhalla A-hall,Sebastian Kiejs,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/35119/match/1372614
2023-10-01,23:38,Klubbhuset Herrar Div. 4,Utbynäs SK H4,IBK Bergum H4,Torpahallen,Robin Cederdahl,Torbjörn Zahner,https://stats.innebandy.se/sasong/43/serie/35119/match/1372617
2023-10-01,12:00,Klubbhuset Herrar Div. 6,IBF Backadalen H6,Orust IBK H6,Tuve Sporthall,Lazo Cesto,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/35121/match/1413021
2023-10-01,19:00,Klubbhuset Herrar Div. 6,Överby IBK H6,Lindome IBK H6,Nordby Supermarkethallen A-hallen,Zara Carlsson,Senad Olevic,https://stats.innebandy.se/sasong/43/serie/35121/match/1413023
2023-10-01,14:00,Damer Allsvenskan Västra,GS 86 AIF,Lindome IBK,Forshaga Sporthall,Tim Green,Viktor Snöborgs,https://stats.innebandy.se/sasong/43/serie/34688/match/1345196
2023-10-01,14:00,Damer Allsvenskan Västra,FBC Katrineholm,FBC Partille,Duveholmshallen A,David Björketun,Alexander Lagerström,https://stats.innebandy.se/sasong/43/serie/34688/match/1345198
2023-10-01,16:00,Damer Allsvenskan Västra,Skoghalls IBK,Lindås IBK,Hammarö Arena,Erik Bergström,Christoffer Frykestam,https://stats.innebandy.se/sasong/43/serie/34688/match/1345197
2023-10-01,10:00,Division 1 Para Västserien,IF Änglarna 1,FUB Borås,,Pedram Koublani,Magnus Jansson,https://stats.innebandy.se/sasong/43/serie/36415/match/1424775
2023-10-01,10:00,Division 1 Para Västserien,Skövde PF Div 1,Vara SK 1,,Jim Nilsson,Leutrim Krasniqi,https://stats.innebandy.se/sasong/43/serie/36415/match/1424776
2023-10-01,11:40,Division 1 Para Västserien,FUB Borås,Vara SK 1,,Jim Nilsson,Leutrim Krasniqi,https://stats.innebandy.se/sasong/43/serie/36415/match/1424777
2023-10-01,11:40,Division 1 Para Västserien,Skövde PF Div 1,IF Änglarna 1,,Pedram Koublani,Magnus Jansson,https://stats.innebandy.se/sasong/43/serie/36415/match/1424778
2023-10-01,13:20,Division 1 Para Västserien,FUB Borås,Skövde PF Div 1,,Pedram Koublani,Magnus Jansson,https://stats.innebandy.se/sasong/43/serie/36415/match/1424779
2023-10-01,13:20,Division 1 Para Västserien,IF Änglarna 1,Vara SK 1,,Jim Nilsson,Leutrim Krasniqi,https://stats.innebandy.se/sasong/43/serie/36415/match/1424780
2023-10-01,09:00,Division 2 Para Västserien,Skövde PF Div 2,Vara SK 2,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424794
2023-10-01,09:30,Division 2 Para Västserien,IF Änglarna 2,Johannebergs LIF,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424795
2023-10-01,10:40,Division 2 Para Västserien,Skövde PF Div 2,IF Änglarna 2,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424796
2023-10-01,11:10,Division 2 Para Västserien,Johannebergs LIF,Vara SK 2,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424797
2023-10-01,12:20,Division 2 Para Västserien,Skövde PF Div 2,Johannebergs LIF,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424798
2023-10-01,12:50,Division 2 Para Västserien,Vara SK 2,IF Änglarna 2,,,,https://stats.innebandy.se/sasong/43/serie/36416/match/1424799
2023-10-01,09:00,Division 3 Para Västserien,IF Fregatten,Skara HIF Viljan,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424800
2023-10-01,09:30,Division 3 Para Västserien,Vara SK 3,Skövde PF Div 3,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424801
2023-10-01,10:40,Division 3 Para Västserien,IF Fregatten,Vara SK 3,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424802
2023-10-01,11:10,Division 3 Para Västserien,Skara HIF Viljan,Skövde PF Div 3,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424803
2023-10-01,12:20,Division 3 Para Västserien,Skövde PF Div 3,IF Fregatten,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424804
2023-10-01,12:50,Division 3 Para Västserien,Skara HIF Viljan,Vara SK 3,,,,https://stats.innebandy.se/sasong/43/serie/36417/match/1424805
2023-10-01,13:00,Herrar Div 1 Västra Götaland,IBF Backadalen,Träslövsläge IF,Lundbystrand 1,Måns Löfgren,Stefan Olsson,https://stats.innebandy.se/sasong/43/serie/34681/match/1342952
2023-10-01,18:00,Juniorallsvenskan H1 HJ18,FBC Lerum Utveckling,FBC Partille,Rydsbergshallen,Christian Jensen,Gabriel Adolfsson,https://stats.innebandy.se/sasong/43/serie/35399/match/1362248
2023-10-02,19:30,Klubbhuset Damer Div. 1,Stenungsunds IBK D1,IBF Backadalen D1,Stenungsund Arena,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35123/match/1372359
2023-10-02,19:15,Pantamera Pojk Röd H Höst FD,Myggenäs IBK P-10,IBK Kungälv P10 Vit,Häggvallsskolan,Hampus Räffling,Charles Martinsson,https://stats.innebandy.se/sasong/43/serie/35134/match/1415745
2023-10-03,20:00,Klubbhuset Damer Div. 3,Landvetter IBK D3,Lindås IBK D3,Pinntorps Idrottshall,Mohsen Gholami,Ali Alizada,https://stats.innebandy.se/sasong/43/serie/35125/match/1412940
2023-10-03,18:30,Pojkar tr-matcher 2023-24,FBC Lerum Utveckling P11,IBK Alingsås P11,Lerum Arena A,Lasse Englund,Karl Dahlsjö,https://stats.innebandy.se/sasong/43/serie/34660/match/1424793
2023-10-03,18:45,Pojkar tr-matcher 2023-24,Eken IBK P07/08 Lila,Varla IBK P07 Lila,Ekenhallen 1,Alexander Rydqvist,Sebastian Ågren,https://stats.innebandy.se/sasong/43/serie/34660/match/1425143
2023-10-04,19:30,Klubbhuset Herrar Div. 3,Myggenäs IBK H3,IK Zenith H3,Häggvallsskolan,Adnan Tongur,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/35118/match/1372752
2023-10-04,20:00,Klubbhuset Herrar Div. 5,Frölunda IBK H5,IBK Kungälv H5,Flatåsskolan,Tommy Runhammar,Sandra Lindskog,https://stats.innebandy.se/sasong/43/serie/35120/match/1372880
2023-10-06,19:30,SSL - Svenska Superligan Dam,IBK Lockerud Mariestad,Pixbo IBK,"ICA-kvantum hallen, Mariestad",Josefine Hedelind,Martin Jonsson,https://stats.innebandy.se/sasong/43/serie/34685/match/1344682
2023-10-06,19:30,Klubbhuset Damer Div. 2,Öckerö IBK D2,IBK Älvstranden Dam,Hedenskolans Idrottshall,Alexander Rydqvist,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/35124/match/1373100
