Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-12-01,16:00,Klubbhuset Damer Div. 2,IBK Kungälv D2,Guldhedens IK D2,Mimershus A-hallen,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/38226/match/1477624
2024-12-01,14:00,Klubbhuset Damer Div. 3,Fristads GoIF / Sandared IBS Dam U,FBC Lerum Utveckling D3,Nya Fristadshallen,Pedram Koublani,Christian Ragnevi,https://stats.innebandy.se/sasong/43/serie/38227/match/1475695
2024-12-01,18:00,Klubbhuset Damer Div. 3,IBK Älvstranden D3,Hindås IBK D3,Lundbystrand 3,Mustafa Er,Adem Can,https://stats.innebandy.se/sasong/43/serie/38227/match/1475674
2024-12-01,18:45,Klubbhuset Damer Div. 3,Eken IBK D3,Burås IK D3,Ekenhallen 1,Kristoffer Lind,Goran Kuduzovic,https://stats.innebandy.se/sasong/43/serie/38227/match/1475672
2024-12-01,15:00,Klubbhuset Herrar Div. 2,Almås IBF H2,FBC Vinga H2,Almåshallen A,Aldin Hadziselmovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/38219/match/1476713
2024-12-01,10:00,Klubbhuset Herrar Div. 3,Burås IK H3,Dingle AIK H3,Lundenhallen,Mats Sällberg,Christer Carlberg,https://stats.innebandy.se/sasong/43/serie/38220/match/1476841
2024-12-01,13:00,Klubbhuset Herrar Div. 3,Pixbo IBF H3,Hovås IBK H3,Wallenstam Arena A,Robin Cederdahl,Linus Svensson,https://stats.innebandy.se/sasong/43/serie/38220/match/1476845
2024-12-01,18:45,Klubbhuset Herrar Div. 3,FBC Partille H3,Stenungsunds IBK H3,Partillebohallen,Tommy Runhammar,Måns Bartilson,https://stats.innebandy.se/sasong/43/serie/38220/match/1476840
2024-12-01,19:15,Klubbhuset Herrar Div. 3,Göteborg City IBK H3,Eken IBK H3,Kviberg Arena B,Robin Boqvist,Hajrudin Begic,https://stats.innebandy.se/sasong/43/serie/38220/match/1476843
2024-12-01,19:20,Klubbhuset Herrar Div. 3,Korsvägen BBK H3,Myggenäs IBK H3,Lundbystrand 5,Adnan Mehmedagic,Mattias Strid,https://stats.innebandy.se/sasong/43/serie/38220/match/1476844
2024-12-01,12:00,Klubbhuset Herrar Div. 4,Utbynäs SK H4,IBK Bergum H4,Kviberg Arena B,Wessam Abdellrazek,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38221/match/1477022
2024-12-01,18:00,Klubbhuset Herrar Div. 4,Pinntorp IBF H4,IBK Göteborg H4,Pinntorps Idrottshall,Magnus Fredriksson,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/38221/match/1477019
2024-12-01,18:30,Klubbhuset Herrar Div. 4,Guldhedens IK H4,Stenungsunds IBK H4,Valhalla A-hall,Alexander Pavlovic,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/38221/match/1477018
2024-12-01,19:00,Klubbhuset Herrar Div. 4,IBK Kungälv H4,Sörgårdens IBF H4,Kastellegårdshallen,Felix Bark Peterson,Roger Zahnér,https://stats.innebandy.se/sasong/43/serie/38221/match/1477021
2024-12-01,18:00,Klubbhuset Herrar Div. 5,Kärra IBK H5,Dingle AIK H5,Kärra Sporthall,Henry Tames,Lazo Cesto,https://stats.innebandy.se/sasong/43/serie/38222/match/1477199
2024-12-01,18:30,Klubbhuset Herrar Div. 5,KFKD H5,IBK Kungälv H5,Lundbystrand 4,Alexander Warberg,Kian Keinia,https://stats.innebandy.se/sasong/43/serie/38222/match/1477194
2024-12-01,16:20,Klubbhuset Herrar Div. 6,Floda IBK H6,Orust IBK H6,Nova Floda Sportcenter A-hall,Senad Olevic,Mustafa Kalajdzisalihovic,https://stats.innebandy.se/sasong/43/serie/38223/match/1527565
2024-12-01,16:40,Klubbhuset Herrar Div. 6,FBC Vinga H6,Eken IBK H6,Hall Of Flame,Semir Aganspahic,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/38223/match/1527566
2024-12-01,15:00,Allsvenskan Damer Södra,Växjö IBK,FBC Partille,Fortnox Arena A-hall,Fredrik Billemark,Viktor Bringstam,https://stats.innebandy.se/sasong/43/serie/37995/match/1454381
2024-12-01,12:10,Juniorallsvenskan H DJ18,Lindås IBK,FBC Engelholm,Lindås Waves Arena,Måns Bartilson,Tommy Runhammar,https://stats.innebandy.se/sasong/43/serie/38755/match/1485357
2024-12-01,14:30,Juniorallsvenskan H DJ18,Åstorp/Kvidinge IBS,Lindome IBK,Arena Åstorp,Mårten Högblom,Jonas Pettersson,https://stats.innebandy.se/sasong/43/serie/38755/match/1485353
2024-12-01,13:30,Juniorallsvenskan H HJ18,IBK Kungälv,FBC Partille,Mimershus A-hallen,Marcus Orrhult,Christian Svärdström,https://stats.innebandy.se/sasong/43/serie/38706/match/1483879
2024-12-01,17:15,Juniorallsvenskan H HJ18,Fristads GoIF/Rydboholms SK,Floda IBK,Nya Fristadshallen,Pedram Koublani,Christian Ragnevi,https://stats.innebandy.se/sasong/43/serie/38706/match/1483880
2024-12-01,16:45,Juniorallsvenskan I HJ18,Åstorp/Kvidinge IBS,Lindås IBK/Särö IBK,Arena Åstorp,Claus Pettersson,Petter Niklasson,https://stats.innebandy.se/sasong/43/serie/38708/match/1483972
2024-12-01,15:30,Klubbhuset Blå Flickor 1A-B,IBF Backadalen F13 Svart,Ale IBF F12/13 Vit,Tuve Sporthall,Hugo Fritzson,Benjamin Lyche,https://stats.innebandy.se/sasong/43/serie/39135/match/1527182
2024-12-01,14:30,Klubbhuset Blå Flickor 1B-C,IBF Backadalen F13 Röd,Pixbo IBK F13/14 Rödrävar,Tuve Sporthall,Hugo Fritzson,Benjamin Lyche,https://stats.innebandy.se/sasong/43/serie/39136/match/1527145
