Datum,Tid,Serie,Hemmalag,Bortalag,Arena,Domare1,Domare2,url
2024-01-12,20:00,Klubbhuset Damer Div. 2,FBC Lerum D2,Ale IBF D2,Rydsbergshallen,Tommy Runhammar,Selma Hadziselimovic,https://stats.innebandy.se/sasong/43/serie/35124/match/1373162
2024-01-12,20:15,Klubbhuset Herrar Div. 2,FBC Lerum Utveckling H2,Frölunda IBK H2,Lerum Arena C,Marcus Larsson,Oscar Skogsberg,https://stats.innebandy.se/sasong/43/serie/35117/match/1372163
2024-01-12,19:30,Klubbhuset Herrar Div. 4,Herrestads AIF Rockets H4,Guldhedens IK H4,Rampen Sporthall (Källdalsskolan),Håkan Krafft,Pierre Eberhard Berg,https://stats.innebandy.se/sasong/43/serie/35119/match/1372680
2024-01-12,19:30,Klubbhuset Herrar Div. 6,Eken IBK H6,Orust IBK H6,Ekenhallen 1,Felix Broström,Mustafa Er,https://stats.innebandy.se/sasong/43/serie/35121/match/1413075
2024-01-12,19:15,Herrar Div 1 Västra Götaland,Mölndals IBF,IK Zenith,Aktiviteten A-Hall,Adam Kruse,Måns Löfgren,https://stats.innebandy.se/sasong/43/serie/34681/match/1343023
2024-01-12,20:00,Juniorallsvenskan G DJ18,Stenungsunds IBK/IBK Kungälv,FBC Partille/Floda IBK,Stenungsund Arena,Marcus Orrhult,Joakim Jögi,https://stats.innebandy.se/sasong/43/serie/35872/match/1392449
2024-01-12,20:00,Juniorallsvenskan H1 HJ18,IBK Kungälv,Fristads GoIF/Rydboholms SK,Kastellegårdshallen,Amir Huseinovic,Alexander Pavlovic,https://stats.innebandy.se/sasong/43/serie/35399/match/1362274
2024-01-12,19:15,Juniorallsvenskan H2 HJ18,IBK Göteborg/IBK Bergum,Kärra IBK,Torpahallen,Gabriel Adolfsson,Christian Jensen,https://stats.innebandy.se/sasong/43/serie/35400/match/1362683
2024-01-12,20:00,Juniorallsvenskan H2 HJ18,Varla IBK/Lindome IBK,Floda IBK,Skårbyhallen,Jan Svensson,Axel Sagdahl,https://stats.innebandy.se/sasong/43/serie/35400/match/1362682
2024-01-12,19:00,Pantamera Flick Mörkröd A Vår,Pixbo IBF F08,Lindome IBK DJ,Wallenstam Arena A,Henry Tames,Lazo Cesto,https://stats.innebandy.se/sasong/43/serie/36835/match/1438934
2024-01-12,19:30,Pantamera Flick Mörkröd A Vår,IBK Vänersborg DJ,Onsala IBK DamJunior,"Idrottshuset, Vänersborg",Emil Jacobsson,Henrik Sjöberg,https://stats.innebandy.se/sasong/43/serie/36835/match/1438933
2024-01-12,19:30,Pantamera Flick Röd C Vår FD,Öckerö IBK F09-11,IBK Alingsås F08/11,Hedenskolans Idrottshall,Senad Olevic,Adam Jällfält,https://stats.innebandy.se/sasong/43/serie/36841/match/1438334
